"reported_name","m","sd","med","q025","q975","n","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Abies alba",4691.25043478261,1652.64341401816,5000,1562.5,6762.5,46,"Abies alba","Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484"
"Abies balsamea",420.62976,709.655160615842,160,44.5,2700,250,"Abies balsamea","Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685383"
"Abies concolor",4590.65882352941,1339.73917998032,5000,1756.68,6000,34,"Abies concolor","Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685580"
"Abies grandis",2775.08672566372,2871.34082537292,1294,112.776,10000,113,"Abies grandis","Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685361"
"Abies lasiocarpa",416.95,794.289834520802,202,32,3048,431,"Abies lasiocarpa","Abies lasiocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685313"
"Abies magnifica",4345.72631578947,1860.32017341165,5000,899.16,6000,19,"Abies magnifica","Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685422"
"Abies nordmanniana",4675,1553.4012860673,5000,1500,7000,28,"Abies nordmanniana","Abies nordmanniana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685552"
"Abies pinsapo",2733.33333333333,1015.35825251602,2500,1675,4950,15,"Abies pinsapo","Abies pinsapo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685464"
"Abronia latifolia",150,NA,150,150,150,1,"Abronia latifolia","Abronia latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384891"
"Abutilon theophrasti",138,38.9871773792359,120,102,195,5,"Abutilon theophrasti","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152614"
"Acacia baileyana",750,353.553390593274,750,512.5,987.5,2,"Acacia baileyana","Acacia baileyana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2981303"
