"reported_name","Original","Genus","Family","Order","Dispersal_syndrome","Growth_form","Seed_weight_(mg)","Seed_release_height_(m)","Seed_terminal_velocity_(m/s)","Maximum_recorded_dispersal_distance_(m)","99th_percentile_dispersal_distance_(m)","90th_percentile_dispersal_distance_(m)","Mean_dispersal_distance_(m)","Mode_dispersal_distance_(m)","Median_dispersal_distance_(m)","Maximum_dispersal_distance_(m)","Calculated_maximum_dispersal_distance_(m)","Maximum_dispersal_distance_analysis_(m)","Data_type","Region","Reference","genus","species","subspecies","genus_species","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Adriana quadripartita",NA,"Adriana","Euphorbiaceae","Malpighiales","ballistic","shrub",35,NA,NA,2,NA,NA,0.27,NA,0.08,2,NA,2,"field","tropics","Beaumont et al. 2009","Adriana","quadripartita",NA,"Adriana quadripartita","Adriana quadripartita","Adriana quadripartita","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:8321214"
"Cornus controversa",NA,"Cornus","Cornaceae","Cornales","wind (none)","tree",44,NA,NA,35,NA,NA,NA,5,NA,35,NA,35,"field","temperate","Masaki et al. 1994","Cornus","controversa",NA,"Cornus controversa","Cornus controversa","Cornus controversa","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:7846556"
"Calathea ovandensis",NA,"Calathea","Marantaceae","Zingiberales","wind (none)","herb",NA,NA,NA,2.75,NA,NA,NA,0.25,NA,2.75,NA,2.75,"field","tropics","Horvitz & Schemske 1994","Calathea","ovandensis",NA,"Calathea ovandensis","Calathea ovandensis","Goeppertia ovandensis","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","gbif","GBIF:9277281"
"Daucus carota",NA,"Daucus","Apiaceae","Apiales","wind (none)","herb",1,1,2.21,NA,0.93,NA,NA,NA,0.15,0.93,NA,0.93,"model","temperate","Soons & Ozinga 2005","Daucus","carota",NA,"Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742"
"Seseli libanotis",NA,"Seseli","Apiaceae","Apiales","wind (none)","herb",2.01,1.2,2.9,2,NA,NA,NA,NA,0.76,2,NA,2,"model","temperate","Jongejans & Telenius 2001","Seseli","libanotis",NA,"Seseli libanotis","Seseli libanotis","Seseli libanotis","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034133"
"Mercurialis annua",NA,"Mercurialis","Euphorbiaceae","Malpighiales","ballistic","herb",1.7,0.5,3.19,2.9,NA,NA,NA,NA,NA,2.9,NA,2.9,"field","temperate","MŸller-Schneider 1983 in Vittoz & Engler 2007","Mercurialis","annua",NA,"Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975"
"Picea abies",NA,"Picea","Pinaceae","Pinales","animal","tree",7,50,NA,60,NA,NA,NA,NA,NA,60,NA,60,"field","temperate","MŸller-Schneider 1983 in Vittoz & Engler 2007","Picea","abies",NA,"Picea abies","Picea abies","Picea abies","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284884"
"Agrostis hyemalis",NA,"Agrostis","Poaceae","Poales","wind (none)","herb",61,NA,0.96,NA,NA,2,NA,NA,0.46,2,NA,2,"field","temperate","Rabinowitz & Rapp 1979","Agrostis","hyemalis",NA,"Agrostis hyemalis","Agrostis hyemalis","Agrostis hyemalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706548"
"Amphicarpaea bracteata",NA,"Amphicarpaea","Fabaceae","Fabales","wind (none)","herb",27.09,NA,NA,3.25,NA,NA,NA,0.75,0.95,3.25,NA,3.25,"field","temperate","Trapp 1988","Amphicarpaea","bracteata",NA,"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161"
"Cnidoscolus urens subsp. stimulosus","Cnidoscolus stimulosus","Cnidoscolus","Euphorbiaceae","Malpighiales","ballistic","herb",54.5,NA,NA,1.15,NA,NA,0.62,NA,NA,1.15,NA,1.15,"field","temperate","Stamp & Lucas 1990","Cnidoscolus","urens","subsp. stimulosus","Cnidoscolus urens","Cnidoscolus urens","Cnidoscolus urens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3073653"
