"scientificName","kingdom","phylum","class","order","family","db","BodySize","Database","Code","Unit","Field"
"Accipiter cooperii","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",62,"AVONET","BodySize","mm","TarsusLength"
"Accipiter gentilis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",67.3,"AVONET","BodySize","mm","TarsusLength"
"Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",53.6,"AVONET","BodySize","mm","TarsusLength"
"Aquila chrysaetos","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",101.4,"AVONET","BodySize","mm","TarsusLength"
"Buteo buteo","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",75.8,"AVONET","BodySize","mm","TarsusLength"
"Buteo jamaicensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",80.9,"AVONET","BodySize","mm","TarsusLength"
"Buteo lineatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",74.1,"AVONET","BodySize","mm","TarsusLength"
"Buteo regalis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",81.6,"AVONET","BodySize","mm","TarsusLength"
"Buteo swainsoni","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",60.7,"AVONET","BodySize","mm","TarsusLength"
"Circus cyaneus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",77.05,"AVONET","BodySize","mm","TarsusLength"
"Elanus leucurus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",31.8,"AVONET","BodySize","mm","TarsusLength"
"Haliaeetus leucocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",81.7,"AVONET","BodySize","mm","TarsusLength"
"Parabuteo unicinctus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif",81.6,"AVONET","BodySize","mm","TarsusLength"
"Pandion haliaetus","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","gbif",49.8,"AVONET","BodySize","mm","TarsusLength"
"Aix sponsa","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif",32.9,"AVONET","BodySize","mm","TarsusLength"
"Anas acuta","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif",36.9,"AVONET","BodySize","mm","TarsusLength"
"Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif",40.6,"AVONET","BodySize","mm","TarsusLength"
"Anser caerulescens","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif",76.7,"AVONET","BodySize","mm","TarsusLength"
