"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480621",32.3,77.8,"AVONET","mm"
"Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480589",36.3,122.6,"AVONET","mm"
"Accipiter nisus","Accipiter nisus","Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480637",35.5,74.2,"AVONET","mm"
"Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480506",36.7,221.2,"AVONET","mm"
"Buteo buteo","Buteo buteo","Buteo buteo","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480537",38.3,147.2,"AVONET","mm"
"Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480542",34.1,139.9,"AVONET","mm"
"Buteo lineatus","Buteo lineatus","Buteo lineatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480529",33.4,106.9,"AVONET","mm"
"Buteo regalis","Buteo regalis","Buteo regalis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480566",41.3,179.2,"AVONET","mm"
"Buteo swainsoni","Buteo swainsoni","Buteo swainsoni","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480562",46.6,175.2,"AVONET","mm"
"Circus cyaneus","Circus cyaneus","Circus cyaneus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480487",44.7,158.9,"AVONET","mm"
"Circus hudsonius","Circus hudsonius","Circus cyaneus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480487",44.6,161.1,"AVONET","mm"
"Elanus leucurus","Elanus leucurus","Elanus leucurus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480367",41.5,120.3,"AVONET","mm"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480446",41.4,248.8,"AVONET","mm"
