"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A10_P1","LAT","Ter",2.01357015232723,1.59864035454391,"110km"
"A10_P1","LAT","Ter",1.23479939306051,1.59907827078577,"25km"
"A10_P1","LAT","Ter",1.55141434843276,1.70020267279932,"50km"
"A103_P1","LAT","Mar",0.806778354152956,0.594271442230603,"110km"
"A103_P1","LAT","Mar",0.876313381288259,0.740266544887771,"25km"
"A103_P1","LAT","Mar",0.886841820675121,0.72156547889633,"50km"
"A104_P1","LAT","Ter",1.31551291016133,1.10969609582715,"110km"
"A104_P1","LAT","Ter",0.0853586519986421,0.744953641637053,"25km"
"A104_P1","LAT","Ter",0.404137254673761,1.02838037929187,"50km"
"A107_P1","LAT","Ter",3.01701294292103,1.09810877535404,"110km"
"A107_P1","LAT","Ter",1.89888140611091,1.42551737730002,"25km"
"A107_P1","LAT","Ter",2.45615982138875,1.30844547929454,"50km"
"A108_P1","LAT","Ter",1.99298598766327,0.652821200157239,"110km"
"A108_P1","LAT","Ter",1.32419735737718,1.16970640351754,"25km"
"A108_P1","LAT","Ter",2.09197648098537,1.20273738081117,"50km"
"A11_P1","LAT","Ter",2.80865552400549,2.27664906903355,"110km"
"A11_P1","LAT","Ter",0.733513948804835,1.77727850098816,"25km"
"A11_P1","LAT","Ter",1.67935277068163,2.61631570332627,"50km"
"A11_P2","LAT","Ter",8.48362654447556,7.31445873267614,"110km"
"A11_P2","LAT","Ter",2.03877089655508,5.38748595815552,"25km"
"A11_P2","LAT","Ter",4.45730828457191,7.88746058185919,"50km"
"A110_P1","LAT","Ter",5.11627042421731,1.41852671056779,"110km"
"A110_P1","LAT","Ter",4.30464202235069,2.30616992395761,"25km"
"A110_P1","LAT","Ter",4.86911522018324,1.93370681442631,"50km"
"A110_P2","LAT","Ter",5.11627042421731,1.41852671056779,"110km"
"A110_P2","LAT","Ter",4.30464202235069,2.30616992395761,"25km"
"A110_P2","LAT","Ter",4.86911522018324,1.93370681442631,"50km"
