"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A10_P1","LAT","Ter",1.23479939306051,1.59907827078577,"25km"
"A102_P1","LAT","Ter",-0.000178244338894729,0.000212820252872218,"25km"
"A102_P2","LAT","Ter",-0.00223284232779406,0.00276064366503393,"25km"
"A102_P3","LAT","Ter",-0.0010918012514594,0.00135034284578509,"25km"
"A102_P4","LAT","Ter",-0.00566919600324971,0.00184816537777225,"25km"
"A102_P5","LAT","Ter",-0.0129917401022145,0.00424069698211179,"25km"
"A102_P6","LAT","Ter",-0.00619530854081469,0.00202087525112048,"25km"
"A104_P1","LAT","Ter",0.0143826027207372,0.202073663075906,"25km"
"A105_P1","LAT","Ter",0.00520125923503656,0.0120374202112821,"25km"
"A107_P1","LAT","Ter",1.03972517865633,1.21601377497346,"25km"
"A108_P1","LAT","Ter",1.32419735737718,1.16970640351754,"25km"
"A109_P1","LAT","Ter",0.0241506890510209,0.109513062562196,"25km"
"A11_P1","LAT","Ter",0.0394413882108665,0.335985360774451,"25km"
"A11_P2","LAT","Ter",0.118772066919654,1.04881144689285,"25km"
"A110_P1","LAT","Ter",4.30464202235069,2.30616992395761,"25km"
"A110_P2","LAT","Ter",4.30464202235069,2.30616992395761,"25km"
"A111_P1","LAT","Ter",0.659011611212205,2.66859955560315,"25km"
"A113_P1","LAT","Ter",2.61344151958852,2.21469565215206,"25km"
"A113_P2","LAT","Ter",0.343587250692024,1.7911709923231,"25km"
"A113_P3","LAT","Ter",0.571929397316702,3.0150312281871,"25km"
"A113_P4","LAT","Ter",0.291651028699641,1.46227418786704,"25km"
"A113_P5","LAT","Ter",0.435578418011356,2.47994759097817,"25km"
"A114_P1","LAT","Ter",6.0947310692117,5.87385760605135,"25km"
"A115_P1","LAT","Ter",0.0120080998810819,0.0261198479261609,"25km"
"A115_P2","LAT","Ter",0.0305542701446429,0.0306288216102252,"25km"
"A115_P3","LAT","Ter",0.0475036041680141,0.0803930827126337,"25km"
"A118_P1","LAT","Ter",0.457950815558434,0.692269753056631,"25km"
"A119_P1","LAT","Ter",0.185402856250717,0.375516263492391,"25km"
"A12_P1","LAT","Ter",-0.0064205226230328,0.118985296591073,"25km"
"A122_P1","LAT","Ter",1.11822519598232,1.46574283292633,"25km"
"A123_P1","LAT","Ter",0.0787618895133638,0.536145352797631,"25km"
"A128_P1","LAT","Ter",0.0096630751884178,0.0109577363621555,"25km"
"A129_P1","LAT","Ter",0.0787203242621052,0.182255994287208,"25km"
"A129_P3","LAT","Ter",0.698462827086634,2.22459389896973,"25km"
"A13_P1","LAT","Ter",1.23107547458219,4.38129045738622,"25km"
"A130_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A131_P1","LAT","Ter",0.00329556578726624,0.00779249456217081,"25km"
"A133_P1","LAT","Ter",-0.164607366236548,0.359283471819004,"25km"
"A133_P2","LAT","Ter",-2.28409943977992,4.02646549506576,"25km"
"A134_P1","LAT","Ter",0.526695500055665,1.37761803801076,"25km"
"A135_P1","LAT","Ter",2.31496336365777,2.84324305273274,"25km"
"A136_P1","LAT","Ter",0.610528087514486,0.932142854165401,"25km"
"A136_P2","LAT","Ter",0.307988596294953,0.781081910124359,"25km"
"A136_P3","LAT","Ter",0.362789738701461,0.581419877984961,"25km"
"A136_P4","LAT","Ter",0.307988596294953,0.781081910124359,"25km"
"A136_P5","LAT","Ter",0.362789738701461,0.581419877984961,"25km"
"A136_P6","LAT","Ter",0.519024905190032,1.23235437843497,"25km"
"A137_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A139_P2","LAT","Ter",0.677045181928658,0.509466791713975,"25km"
"A141_P1","LAT","Ter",2.66028587264477,6.64991680004957,"25km"
"A142_P1","LAT","Ter",-0.90505663305521,1.72463431707463,"25km"
"A143_P1","LAT","Ter",4.1636134230087,3.61721305008427,"25km"
"A144_P1","LAT","Ter",2.61344151958852,2.21469565215206,"25km"
"A145_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A147_P1","LAT","Ter",0.0118867254087737,0.115016254128125,"25km"
"A15_P1","LAT","Ter",0.840415217471427,2.49017085926065,"25km"
"A153_P1","LAT","Ter",0.370810492204562,0.301914154167367,"25km"
"A155_P1","LAT","Ter",4.08037192518343,3.47728672469262,"25km"
"A155_P2","LAT","Ter",0.931621892463883,2.157328160232,"25km"
"A156_P1","LAT","Ter",0.398255048574547,1.36319220084557,"25km"
"A157_P1","LAT","Ter",3.45326146517557,2.06806463948617,"25km"
"A158_P1","LAT","Ter",-0.193672012251157,0.101782785547661,"25km"
"A158_P2","LAT","Ter",0.0214468326176638,0.407567472340784,"25km"
"A158_P3","LAT","Ter",-0.102564739435911,0.243108599503779,"25km"
"A158_P4","LAT","Ter",0.191948854497501,0.0326749329737367,"25km"
"A162_P1","LAT","Ter",1.84701952092164,2.01549478206717,"25km"
"A164_P1","LAT","Ter",-0.0452631717547774,0.248867034542957,"25km"
"A167_P1","LAT","Ter",0.195440638488307,0.19597374709414,"25km"
"A168_P1","LAT","Ter",0.151959892770647,0.70447847990555,"25km"
"A17_P1","LAT","Ter",0.0630168245705464,1.4562176296304,"25km"
"A173_P1","LAT","Ter",0.50015290081501,0.19960087025199,"25km"
"A174_P1","LAT","Ter",0.00293922066118808,0.101127097045026,"25km"
"A179_P1","LAT","Ter",0.0329427753022173,0.0229801039786021,"25km"
"A18_P1","LAT","Ter",7.88276290423429,6.59653552471173,"25km"
"A180_P1","LAT","Ter",1.06536259572762,1.08036152563397,"25km"
"A181_P1","LAT","Ter",1.26959236183839,3.75359951805501,"25km"
"A183_P1","LAT","Ter",0.267211564379744,0.205169917396675,"25km"
"A185_P1","LAT","Ter",1.37346931833945,3.55264446780362,"25km"
"A187_P1","LAT","Ter",0.795867973841014,2.03365146839163,"25km"
"A19_P1","LAT","Ter",4.15292282934072,7.14867523683156,"25km"
"A19_P2","LAT","Ter",0.666755344694815,3.20549804769807,"25km"
"A19_P3","LAT","Ter",0.854113024173547,1.40098351710162,"25km"
"A19_P4","LAT","Ter",0.00241275020677761,1.92895303679703,"25km"
"A190_P1","LAT","Ter",-0.430251594632864,0.109178499383215,"25km"
"A193_P1","LAT","Ter",0.0268794370349497,0.00664300243177987,"25km"
"A195_P1","LAT","Ter",0.902903014421463,1.67342627415371,"25km"
"A2_P1","LAT","Ter",1.2338117431605,0.645226759630553,"25km"
"A20_P1","LAT","Ter",0.213804115194399,0.546928125164702,"25km"
"A204_P1","LAT","Ter",2.21244920115722,9.97600677046144,"25km"
"A206_P1","LAT","Ter",-0.690130511919657,0.153270326250076,"25km"
"A208_P1","LAT","Ter",0.387270618762289,0.511244633686886,"25km"
"A209_P2","LAT","Ter",-0.0144044344109339,0.88189534311641,"25km"
"A211_P1","LAT","Ter",0.204369016761987,0.456597120181137,"25km"
"A212_P1","LAT","Ter",0.384074705138048,1.16611377631276,"25km"
"A212_P2","LAT","Ter",0.247580421340585,0.664739824437631,"25km"
"A214_P1","LAT","Ter",0.942828869532607,1.3730817070728,"25km"
"A215_P1","LAT","Ter",0.24467635400269,1.42712015135976,"25km"
"A218_P1","LAT","Ter",1.30526054669832,2.55023036630337,"25km"
"A220_P1","LAT","Ter",0.223418444450315,0.337016386818649,"25km"
"A221_P1","LAT","Ter",1.53283050168174,1.29605646464269,"25km"
"A221_P2","LAT","Ter",1.97345208818002,1.75532667786916,"25km"
"A221_P3","LAT","Ter",0.127059275858259,0.672610986922486,"25km"
"A225_P1","LAT","Ter",0.140060014600555,0.669563633811805,"25km"
"A227_P1","LAT","Ter",1.56647593797411,0.919460970610233,"25km"
"A228_P1","LAT","Ter",0.000807771577456151,0.0195224774222829,"25km"
"A229_P1","LAT","Ter",1.27448589094773,1.4476628836599,"25km"
"A23_P1","LAT","Ter",0.0633325912058353,0.595997358186465,"25km"
"A233_P1","LAT","Ter",-0.0614381151778313,0.235667781735225,"25km"
"A234_P1","LAT","Ter",1.45355564851042,1.39744980669468,"25km"
"A235_P1","LAT","Ter",1.50526036251768,2.01084114374338,"25km"
"A236_P1","LAT","Ter",0.0533967018127441,0.0162749466686185,"25km"
"A237_P1","LAT","Ter",-0.000103662627452104,0.0791224428786823,"25km"
"A237_P2","LAT","Ter",0.0244503513660295,0.358612335605821,"25km"
"A238_P1","LAT","Ter",-0.038603121986862,0.120879168200901,"25km"
"A239_P1","LAT","Ter",0.312767677009106,0.105105245614943,"25km"
"A24_P1","LAT","Ter",0.235861535856707,0.525149600012788,"25km"
"A246_P1","LAT","Ter",-0.0264551279336415,0.272938183169845,"25km"
"A247_P1","LAT","Ter",4.18418978027316,3.54284213778415,"25km"
"A25_P1","LAT","Ter",-0.120173526160857,0.0477516776491597,"25km"
"A255_P1","LAT","Ter",1.42733669915888,2.31777291837204,"25km"
