"reported_name","reported_name_fixed","scientificName","scientificName_checked","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm"
"Mercurialis annua","Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975","seed dispersal (field)","Müller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",2.9,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0029
"Picea abies","Picea abies","Picea abies","Picea abies","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284884","seed dispersal (field)","Müller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",60,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.06
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Maximum_recorded_dispersal_distance_(m)",3.25,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00325
"Dendromecon rigida","Dendromecon rigida","Dendromecon rigida","Dendromecon rigida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888424","seed dispersal (field)","Carney et al. 2003","Maximum_recorded_dispersal_distance_(m)",0.06,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",6e-05
"Pinus strobus","Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed dispersal (field)","Abbott & Quink 1970","Maximum_recorded_dispersal_distance_(m)",30,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.03
"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Jacobaea vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572","seed dispersal (field)","McEvoy & Cox 1987","Maximum_recorded_dispersal_distance_(m)",7,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.007
"Viola odorata","Viola odorata","Viola odorata","Viola odorata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331181","seed dispersal (field)","Beattie & Lyons 1975","Maximum_recorded_dispersal_distance_(m)",0.02,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",2e-05
"Viola pubescens subsp. scabriuscula","Viola pubescens","Viola pubescens","Viola pubescens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331338","seed dispersal (field)","Culver & Beattie 1978","Maximum_recorded_dispersal_distance_(m)",1.08,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00108
"Chloris virgata","Chloris virgata","Chloris virgata","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289624","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)",5.56,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00556
"Setaria verticillata","Setaria verticillata","Setaria verticillata","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289686","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)",3.28,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00328
"Acer saccharum","Acer saccharum","Acer saccharum","Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)",150,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.15
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",475,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.475
"Betula alleghaniensis","Betula alleghaniensis","Betula alleghaniensis","Betula alleghaniensis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331779","seed dispersal (field)","Greene & Johnson 1997","Maximum_recorded_dispersal_distance_(m)",250,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.25
"Bromus inermis","Bromus inermis","Bromus inermis","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703670","seed dispersal (field)","Hume & Archbold 1986 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",7,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.007
"Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:8435025","seed dispersal (field)","Werner 1975 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",1.5,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0015
"Fraxinus americana","Fraxinus americana","Fraxinus americana","Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","gbif","GBIF:3172327","seed dispersal (field)","Greene & Johnson 1996","Maximum_recorded_dispersal_distance_(m)",130,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.13
"Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684391","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",1200,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",1.2
"Panicum miliaceum","Panicum miliaceum","Panicum miliaceum","Panicum miliaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705090","seed dispersal (field)","McCanny & Cavers 1987","Maximum_recorded_dispersal_distance_(m)",3,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.003
"Picea glauca","Picea glauca","Picea glauca","Picea glauca","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284745","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",475,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.475
"Pinus resinosa","Pinus resinosa","Pinus resinosa","Pinus resinosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285067","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",475,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.475
"Pinus strobus","Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",475,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.475
"Pseudotsuga menziesii","Pseudotsuga menziesii","Pseudotsuga menziesii","Pseudotsuga menziesii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685796","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",800,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.8
"Tsuga canadensis","Tsuga canadensis","Tsuga canadensis","Tsuga canadensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687182","seed dispersal (field)","Greene & Johnson 1995 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",1600,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",1.6
"Carex pilulifera","Carex pilulifera","Carex pilulifera","Carex pilulifera","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726614","seed dispersal (field)","Kjellsson 1985","Maximum_recorded_dispersal_distance_(m)",1.4,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0014
"Prunus avium","Prunus avium","Prunus avium","Prunus avium","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3020791","seed dispersal (model)","Breitbach et al. 2012","Maximum_recorded_dispersal_distance_(m)",2220,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",2.22
"Quercus petraea","Quercus petraea","Quercus petraea","Quercus petraea","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2880130","seed dispersal (field)","Kollmann & Schill 1996","Maximum_recorded_dispersal_distance_(m)",300,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.3
"Artemisia herba-alba","Artemisia herba-alba","Artemisia herba-alba","Artemisia herba-alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120848","seed dispersal (field)","Friedman & Orshan 1975","Maximum_recorded_dispersal_distance_(m)",0.8,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",8e-04
"Acer rubrum","Acer rubrum","Acer rubrum","Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","seed dispersal (field)","Higgins et al. 2003","Maximum_recorded_dispersal_distance_(m)",11371,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",11.371
"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705975","seed dispersal (field)","Antonovics & Ellstrand 1985 in Willson 1993","Maximum_recorded_dispersal_distance_(m)",2,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.002
"Geranium maculatum","Geranium maculatum","Geranium maculatum","Geranium maculatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:7808016","seed dispersal (model)","Willson & Agren unpublished in Willson 1993","Maximum_recorded_dispersal_distance_(m)",6.2,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0062
"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Jacobaea vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572","seed dispersal (field)","Poole & Cairns in Harper 1977 in Cain et al. 1998, McEvoy & Cox 1987 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",14,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.014
"Verbascum thapsus","Verbascum thapsus","Verbascum thapsus","Verbascum thapsus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3171949","seed dispersal (field)","Salisbury in Harper 1977 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",13,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.013
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706435","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",61,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.061
"Atriplex prostrata subsp. calotheca","Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",55,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.055
"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375388","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",35,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.035
"Carex extensa","Carex extensa","Carex extensa","Carex extensa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726545","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",31,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.031
"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",900,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.9
"Conyza canadensis","Conyza canadensis","Erigeron canadensis","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3146791","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",2500,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",2.5
"Crepis biennis","Crepis biennis","Crepis biennis","Crepis biennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403531","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",350,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.35
"Crepis capillaris","Crepis capillaris","Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",650,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.65
"Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189172","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",3800,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",3.8
"Epilobium palustre","Epilobium palustre","Epilobium palustre","Epilobium palustre","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189080","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",7300,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",7.3
"Gentianella germanica","Gentianella germanica","Gentianella germanica","Gentianella germanica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","gbif","GBIF:7539382","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)",0.8,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",8e-04
"Holcus lanatus","Holcus lanatus","Holcus lanatus","Holcus lanatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706164","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",340,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.34
