"ShiftKmY","scientificName_checked"
-25.31,"Cathartes aura"
-20.92,"Troglodytes aedon"
-17.05,"Plegadis falcinellus"
-15.125,"Sterna dougallii"
-12.704,"Progne subis"
-10.4845,"Poecile palustris"
-8.4956,"Bubo virginianus"
-7.9148,"Hylocichla mustelina"
-7.6,"Buteo regalis"
-7.5,"Streptopelia turtur"
-6.7948,"Streptopelia turtur"
-6.375,"Anas acuta"
-6.2857,"Streptopelia turtur"
-5.5238,"Sterna dougallii"
-4.5491,"Molothrus ater"
-3.9869,"Valeriana officinalis"
-3.87,"Falco sparverius"
-3.81,"Lanius ludovicianus"
-3.8,"Troglodytes aedon"
-3.5809,"Falco sparverius"
-3.58,"Larus argentatus"
