Accipiter cooperii
Actitis macularius
Aix sponsa
Anas acuta
Anas platyrhynchos
Ardea alba
Asio otus
Athene cunicularia
Aythya affinis
Branta canadensis
Bucephala clangula
Buteo jamaicensis
Buteo lineatus
Campylorhynchus brunneicapillus
Circus cyaneus
Corvus brachyrhynchos
Cygnus buccinator
Egretta thula
Elanus leucurus
Eudocimus albus
Falco columbarius
Falco mexicanus
Falco sparverius
Gallinula chloropus
Grus canadensis
Haliaeetus leucocephalus
Lanius ludovicianus
Larus argentatus
Larus californicus
Larus delawarensis
Lophodytes cucullatus
Meleagris gallopavo
Melospiza melodia
Mergus merganser
Molothrus ater
Mycteria americana
Myiarchus cinerascens
Nycticorax nycticorax
Parabuteo unicinctus
Passer domesticus
Passerculus sandwichensis
Pelecanus erythrorhynchos
Plegadis chihi
Scolopax minor
Sialia sialis
Sitta pusilla
Tachycineta bicolor
Toxostoma curvirostre
Troglodytes troglodytes
Tympanuchus cupido
Vireo griseus
Zenaida macroura
Zonotrichia leucophrys
Megascops asio
Parkesia motacilla
Riparia riparia
Cathartes aura
Dryocopus pileatus
Strix varia
Troglodytes aedon
Hirundo rustica
Hylocichla mustelina
Passerina cyanea
Bubo virginianus
Progne subis
Streptopelia decaocto
Tyto alba
Acrocephalus scirpaceus
Dendrocopos major
Fulica atra
Sylvia atricapilla
Carduelis carduelis
Acer rubrum
Acer saccharum
Betula alleghaniensis
Betula populifolia
Fagus grandifolia
Fraxinus americana
Picea rubens
Pinus strobus
Quercus rubra
Thuja occidentalis
Tilia americana
Tsuga canadensis
Achillea millefolium
Achillea ptarmica
Agrimonia eupatoria
Alnus glutinosa
Anthoxanthum odoratum
Anthriscus sylvestris
Arabidopsis thaliana
Atriplex prostrata
Barbarea vulgaris
Calluna vulgaris
Campanula rotundifolia
Cardamine hirsuta
Cardamine pratensis
Carduus crispus
Carduus nutans
Carpinus betulus
Centaurea scabiosa
Cephalanthera damasonium
Cerastium fontanum
Cirsium arvense
Cirsium dissectum
Cirsium vulgare
Corylus avellana
Crepis capillaris
Daucus carota
Digitalis purpurea
Epilobium hirsutum
Epilobium montanum
Epilobium parviflorum
Erigeron acris
Eupatorium cannabinum
Sanicula europaea
Polygala vulgaris
Potentilla erecta
Potentilla reptans
Primula veris
Pulicaria dysenterica
Quercus petraea
Ranunculus acris
Rhinanthus minor
Crepis biennis
Solidago virgaurea
Saxifraga tridactylites
Scabiosa columbaria
Scorzoneroides autumnalis
Scrophularia nodosa
Geranium rotundifolium
Holcus lanatus
Hypericum perforatum
Heracleum sphondylium
Hypochaeris radicata
Filipendula vulgaris
Fraxinus excelsior
Rubus idaeus
Gentianella germanica
Geranium robertianum
Tussilago farfara
Typha latifolia
Juncus effusus
Luzula campestris
Tragopogon pratensis
Rumex hydrolapathum
Rumex obtusifolius
Myosotis scorpioides
Oxalis acetosella
Pastinaca sativa
Phragmites australis
Picris hieracioides
Tanacetum vulgare
Rumex crispus
Silene dioica
Sonchus asper
Leontodon hispidus
Leucanthemum vulgare
Mercurialis perennis
Ulmus glabra
Viola riviniana
Lythrum salicaria
Verbascum thapsus
Veronica arvensis
Linaria vulgaris
Sonchus arvensis
Linum catharticum
Trifolium dubium
Silene vulgaris
Torilis japonica
Abies balsamea
Betula papyrifera
Picea glauca
Picea mariana
Accipiter gentilis
Accipiter nisus
Acrocephalus schoenobaenus
Aegolius funereus
Alauda arvensis
Apus apus
Ardea cinerea
Tetrastes bonasia
Buteo buteo
Chloris chloris
Columba oenas
Columba palumbus
Corvus frugilegus
Emberiza citrinella
Erithacus rubecula
Falco tinnunculus
Fringilla coelebs
Garrulus glandarius
Larus canus
Larus fuscus
Chroicocephalus ridibundus
Pandion haliaetus
Periparus ater
Cyanistes caeruleus
Parus major
Passer montanus
Pica pica
Prunella modularis
Pyrrhula pyrrhula
Sterna hirundo
Streptopelia turtur
Strix aluco
Turdus merula
Turdus viscivorus
