"ID","mean_cv_studylevel","sd_cv_studylevel","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName_checked","scientificName","cv_res","species_studyid","cv_type","mean_cv_sppspecific","sd_cv_sppspecific","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm","MaxDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","DispersalPotentialmY","DispersalDistancem","tracking_climate","is_contraction","annual_dispersal_pot","ShiftKmY","ClimVeloTKmY_study","ClimVeloTKmY_spp","AnnualDispPotKmY","LimitingRate","what_is_limiting","colour","range_source","Area_m2_ID","Area_m2_range","Area_km2_range","BodySize"
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","TE","Gavia_immer","Gavia_immer","Gavia_immer","Animalia","Chordata","Aves","Gaviidae","GBIF:2481962","Find_Sci_Names","35.3","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",1.765,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 southernmost grids","Mean of extremes","Gavia immer","Gavia immer","25km","Gavia immer_A107_P1","mat_gVelLat_25km",0.382758014106896,0.719894434541744,"Gaviiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",11.49713034,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",11.49713034,11.49713034,1093.968,3,3.83237678,3832.37678,11497.13034,TRUE,"YES",3.83237678,-1.765,1.03972517865633,0.382758014106896,3.83237678,0.382758014106896,"Climate",0.382758014106896,NA,NA,NA,NA,86.1
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","TE","Perisoreus_canadensis","Perisoreus_canadensis","Perisoreus_canadensis","Animalia","Chordata","Aves","Corvidae","GBIF:2482436","Find_Sci_Names","-2.28","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Expansion",-0.114,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 southernmost grids","Mean of extremes","Perisoreus canadensis","Perisoreus canadensis","25km","Perisoreus canadensis_A107_P1","mat_gVelLat_25km",0.371239944100513,0.701072163045731,"Passeriformes","natal dispersal","Strickland (1991)","Natal_dispersal_maximum_distance_(km)",11.3,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",11.3,11.3,365,1,11.3,11300,11300,FALSE,"NO",11.3,0.114,1.03972517865633,0.371239944100513,11.3,0.371239944100513,"Climate",0.371239944100513,NA,NA,NA,NA,36.3
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","TE","Parkesia_motacilla","Parkesia_motacilla","Parkesia_motacilla","Animalia","Chordata","Aves","Parulidae","GBIF:6093862","Find_Sci_Names","2.8","km","U",NA,NA,"Table 2.2, pg 47-86",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",0.112,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most southerly blocks","Mean of extremes","Parkesia motacilla","Parkesia motacilla","25km","Parkesia motacilla_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Passeriformes","natal dispersal","Robinson (1995)","Natal_dispersal_maximum_distance_(km)",4,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",4,4,365,1,4,4000,4000,TRUE,"YES",4,-0.112,1.32419735737718,1.3181151027409,4,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,4813246080996.56,4813246.08099656,22.3
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","TE","Vireo_griseus","Vireo_griseus","Vireo_griseus","Animalia","Chordata","Aves","Vireonidae","GBIF:2487413","Find_Sci_Names","0.93","km","U",NA,NA,"Table 2.2, pg 47-101",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",0.0372,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most southerly blocks","Mean of extremes","Vireo griseus","Vireo griseus","25km","Vireo griseus_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Passeriformes","natal dispersal","Hopp et al. (1995)","Natal_dispersal_maximum_distance_(km)",20,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",20,20,364.234,1,20,20000,20000,TRUE,"YES",20,-0.0372,1.32419735737718,1.3181151027409,20,1.3181151027409,"Climate",1.3181151027409,"BOTW",250486837832.008,3615420039697.72,3615420.03969772,19.5
"A110_P1",4.30464202235069,2.30616992395761,"A110","P1",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Gavia_immer","Gavia_immer","Gavia_immer","Animalia","Chordata","Aves","Gaviidae","GBIF:2481962","Find_Sci_Names","14.926","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Contraction",0.7108,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Median latitude of 10 most southerly observations","Median of extremes","Gavia immer","Gavia immer","25km","Gavia immer_A110_P1","mat_gVelLat_25km",4.41554391805067,2.17689680842244,"Gaviiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",11.49713034,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",11.49713034,11.49713034,1093.968,3,3.83237678,3832.37678,11497.13034,TRUE,"YES",3.83237678,-0.7108,4.30464202235069,4.41554391805067,3.83237678,3.83237678,"Dispersal",NA,NA,NA,NA,NA,86.1
"A110_P1",4.30464202235069,2.30616992395761,"A110","P1",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Perisoreus_canadensis","Perisoreus_canadensis","Perisoreus_canadensis","Animalia","Chordata","Aves","Corvidae","GBIF:2482436","Find_Sci_Names","0.113","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Contraction",0.0054,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Median latitude of 10 most southerly observations","Median of extremes","Perisoreus canadensis","Perisoreus canadensis","25km","Perisoreus canadensis_A110_P1","mat_gVelLat_25km",4.72158126120899,2.06114677789109,"Passeriformes","natal dispersal","Strickland (1991)","Natal_dispersal_maximum_distance_(km)",11.3,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",11.3,11.3,365,1,11.3,11300,11300,TRUE,"YES",11.3,-0.0054,4.30464202235069,4.72158126120899,11.3,4.72158126120899,"Climate",4.72158126120899,NA,NA,NA,NA,36.3
"A110_P1",4.30464202235069,2.30616992395761,"A110","P1",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Troglodytes_troglodytes","Troglodytes_troglodytes","Troglodytes_troglodytes","Animalia","Chordata","Aves","Troglodytidae","GBIF:5231438","Find_Sci_Names","-20.034","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.954,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Median latitude of 10 most southerly observations","Median of extremes","Troglodytes troglodytes","Troglodytes troglodytes","25km","Troglodytes troglodytes_A110_P1","mat_gVelLat_25km",2.23942026656527,1.3249130896135,"Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",38300,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",38.3,38.3,364.234,1,38.3,38300,38300,FALSE,"NO",38.3,0.954,4.30464202235069,2.23942026656527,38.3,2.23942026656527,"Climate",2.23942026656527,"GBIF occurrence",994723881073.291,28406291706153.8,28406291.7061538,17.6
"A110_P1",4.30464202235069,2.30616992395761,"A110","P1",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Sterna_hirundo","Sterna_hirundo","Sterna_hirundo","Animalia","Chordata","Aves","Laridae","GBIF:9367409","Find_Sci_Names","19.526","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Contraction",0.9298,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Median latitude of 10 most southerly observations","Median of extremes","Sterna hirundo","Sterna hirundo","25km","Sterna hirundo_A110_P1","mat_gVelLat_25km",4.33534624356555,2.22704143069923,"Charadriiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6618706,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",109.6618706,109.6618706,910.968,3,36.5539568666667,36553.9568666667,109661.8706,TRUE,"YES",36.5539568666667,-0.9298,4.30464202235069,4.33534624356555,36.5539568666667,4.33534624356555,"Climate",4.33534624356555,"IUCN",994723881073.291,51361892926948.6,51361892.9269486,19.5
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Accipiter_gentilis","Accipiter_gentilis","Accipiter_gentilis","Animalia","Chordata","Aves","Accipitridae","GBIF:2480589","Find_Sci_Names","1.166","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Contraction",0.0555,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Accipiter gentilis","Accipiter gentilis","25km","Accipiter gentilis_A110_P2","mat_gVelLat_25km",4.38835062102233,2.17280761371911,"Accipitriformes","natal dispersal","Marcström and Kenward (1981), Mueller and Berger (1967)","Natal_dispersal_maximum_distance_(km)",1150,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",1150,1150,365,1,1150,1150000,1150000,TRUE,"YES",1150,-0.0555,4.30464202235069,4.38835062102233,1150,4.38835062102233,"Climate",4.38835062102233,"BOTW",994723881073.291,36029138676948.9,36029138.6769489,67.3
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Perisoreus_canadensis","Perisoreus_canadensis","Perisoreus_canadensis","Animalia","Chordata","Aves","Corvidae","GBIF:2482436","Find_Sci_Names","-1.384","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.0659,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Perisoreus canadensis","Perisoreus canadensis","25km","Perisoreus canadensis_A110_P2","mat_gVelLat_25km",4.72158126120899,2.06114677789109,"Passeriformes","natal dispersal","Strickland (1991)","Natal_dispersal_maximum_distance_(km)",11.3,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",11.3,11.3,365,1,11.3,11300,11300,FALSE,"NO",11.3,0.0659,4.30464202235069,4.72158126120899,11.3,4.72158126120899,"Climate",4.72158126120899,NA,NA,NA,NA,36.3
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Pandion_haliaetus","Pandion_haliaetus","Pandion_haliaetus","Animalia","Chordata","Aves","Pandionidae","GBIF:2480726","Find_Sci_Names","8.24","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Contraction",0.3924,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Pandion haliaetus","Pandion haliaetus","25km","Pandion haliaetus_A110_P2","mat_gVelLat_25km",4.38835062102233,2.17280761371911,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",126.8169495,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",126.8169495,126.8169495,1092.702,3,42.2723165,42272.3165,126816.9495,TRUE,"YES",42.2723165,-0.3924,4.30464202235069,4.38835062102233,42.2723165,4.38835062102233,"Climate",4.38835062102233,"IUCN",994723881073.291,91738136357882.6,91738136.3578826,49.8
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Sterna_hirundo","Sterna_hirundo","Sterna_hirundo","Animalia","Chordata","Aves","Laridae","GBIF:9367409","Find_Sci_Names","-15.125","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.7202,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Sterna hirundo","Sterna hirundo","25km","Sterna hirundo_A110_P2","mat_gVelLat_25km",4.33534624356555,2.22704143069923,"Charadriiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6618706,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",109.6618706,109.6618706,910.968,3,36.5539568666667,36553.9568666667,109661.8706,FALSE,"NO",36.5539568666667,0.7202,4.30464202235069,4.33534624356555,36.5539568666667,4.33534624356555,"Climate",4.33534624356555,"IUCN",994723881073.291,51361892926948.6,51361892.9269486,19.5
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Falco_columbarius","Falco_columbarius","Falco_columbarius","Animalia","Chordata","Aves","Falconidae","GBIF:9813242","Find_Sci_Names","-16.87","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.8033,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Falco columbarius","Falco columbarius","25km","Falco columbarius_A110_P2","mat_gVelLat_25km",4.38835062102233,2.17280761371911,"Falconiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",81100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",81.1,81.1,365,1,81.1,81100,81100,FALSE,"NO",81.1,0.8033,4.30464202235069,4.38835062102233,81.1,4.38835062102233,"Climate",4.38835062102233,"BOTW",994723881073.291,47918643637828.1,47918643.6378281,34.3
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Gavia_immer","Gavia_immer","Gavia_immer","Animalia","Chordata","Aves","Gaviidae","GBIF:2481962","Find_Sci_Names","-0.216","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.0103,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Gavia immer","Gavia immer","25km","Gavia immer_A110_P2","mat_gVelLat_25km",4.41554391805067,2.17689680842244,"Gaviiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",11.49713034,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",11.49713034,11.49713034,1093.968,3,3.83237678,3832.37678,11497.13034,FALSE,"NO",3.83237678,0.0103,4.30464202235069,4.41554391805067,3.83237678,3.83237678,"Dispersal",NA,NA,NA,NA,NA,86.1
"A110_P2",4.30464202235069,2.30616992395761,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Ter","LAT","TE","Troglodytes_troglodytes","Troglodytes_troglodytes","Troglodytes_troglodytes","Animalia","Chordata","Aves","Troglodytidae","GBIF:5231438","Find_Sci_Names","-2.471","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",-0.1177,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of southern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Troglodytes troglodytes","Troglodytes troglodytes","25km","Troglodytes troglodytes_A110_P2","mat_gVelLat_25km",2.23942026656527,1.3249130896135,"Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",38300,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",38.3,38.3,364.234,1,38.3,38300,38300,FALSE,"NO",38.3,0.1177,4.30464202235069,2.23942026656527,38.3,2.23942026656527,"Climate",2.23942026656527,"GBIF occurrence",994723881073.291,28406291706153.8,28406291.7061538,17.6
"A138_P1",0.0673827676810877,1.95983914517316,"A138","P1",138,NA,"Pakeman_al_2015_GCB","10.1111/gcb.12999",56.82896,-4.17032,78302.26,607.73,1237,-3.37,1233.63,221.35,"Scotland",NA,"Ter","LAT","TE","Erica_cinerea","Erica_cinerea","Erica_cinerea","Plantae","Tracheophyta","Magnoliopsida","Ericaceae","GBIF:5333411","Find_Sci_Names","-0.2445","km","U",NA,NA,"Data from author",1975,1976,1977,2009,2010,2011,35,"Expansion",-0.007,"km/year","small",2,"TWO","CensusPeriods","occurrence","RAW","Minimum northing","Furthest occurrence","Erica cinerea","Erica cinerea","25km","Erica cinerea_A138_P1","mat_gVelLat_25km",0.118315112446733,1.85166971114166,"Ericales","seed/plant dispersal (unknown)",NA,"Max._Indiv._Dispersal_Distance_(m)",81,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Plants","Max","seed dispersal",0.081,0.081,365,1,0.081,81,81,FALSE,"NO",0.081,0.007,0.0673827676810877,0.118315112446733,0.081,0.081,"Dispersal",NA,NA,NA,NA,NA,49.4318181818182
