"ID","mean_cv_studylevel","sd_cv_studylevel","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","cv_res","species_studyid","cv_type","mean_cv_sppspecific","sd_cv_sppspecific","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm","MaxDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","DispersalPotentialmY","DispersalDistancem","tracking_climate","is_contraction","annual_dispersal_pot","ShiftKmY","ClimVeloTKmY_study","ClimVeloTKmY_spp","AnnualDispPotKmY","LimitingRate","what_is_limiting","colour","range_source","Area_m2_ID","Area_m2_range","BodySize"
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Accipiter_cooperii","Accipiter_cooperii","Accipiter_cooperii","Animalia","Chordata","Aves","Accipitridae","Find_Sci_Names","13.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Accipiter cooperii","25km","Accipiter cooperii_A10_P1","mat_25km_gVelLat",1.1940793388834,1.50163150039693,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",57.71831312,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",57.71831312,57.71831312,730,2,28.85915656,28859.15656,57718.31312,TRUE,"NO",28.85915656,13.78,1.23522004446367,1.1940793388834,28.85915656,1.1940793388834,"Climate",1.1940793388834,"BOTW",7933705804790.3,10487652985190.8,62
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Actitis_macularius","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","Find_Sci_Names","1.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",1.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Actitis macularius","25km","Actitis macularius_A10_P1","mat_25km_gVelLat",1.19626613366523,1.4993458077668,"Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",147,147,365,1,147,147000,147000,TRUE,"NO",147,1.92,1.23522004446367,1.19626613366523,147,1.19626613366523,"Climate",1.19626613366523,"IUCN",7933705804790.3,34170167863421.1,24.2
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Aix_sponsa","Aix_sponsa","Aix_sponsa","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","7.02","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",7.02,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Aix sponsa","25km","Aix sponsa_A10_P1","mat_25km_gVelLat",1.40190825384825,1.53610775964745,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",9.102877271,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",9.102877271,9.102877271,365,1,9.102877271,9102.877271,9102.877271,TRUE,"NO",9.102877271,7.02,1.23522004446367,1.40190825384825,9.102877271,1.40190825384825,"Climate",1.40190825384825,"IUCN",7933705804790.3,7693830381906.64,32.9
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Anas_acuta","Anas_acuta","Anas_acuta","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","3.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Anas acuta","25km","Anas acuta_A10_P1","mat_25km_gVelLat",1.33918554162326,1.51221686266621,"Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",2.541645117,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",2.541645117,2.541645117,240,1,2.541645117,2541.645117,2541.645117,TRUE,"NO",2.541645117,3.92,1.23522004446367,1.33918554162326,2.541645117,1.33918554162326,"Climate",1.33918554162326,"IUCN",7933705804790.3,52934892389343,36.9
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","-0.14","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.14,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Anas platyrhynchos","25km","Anas platyrhynchos_A10_P1","mat_25km_gVelLat",1.19637599631377,1.49997437072132,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",270.5094065,270.5094065,365,1,270.5094065,270509.4065,270509.4065,FALSE,"YES",270.5094065,-0.14,1.23522004446367,1.19637599631377,270.5094065,1.19637599631377,"Climate",1.19637599631377,"IUCN",7933705804790.3,48513431370525.4,40.6
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","Find_Sci_Names","5.22","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",5.22,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Ardea alba","25km","Ardea alba_A10_P1","mat_25km_gVelLat",1.40606272807942,1.50899127321429,"Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",313.9587074,313.9587074,637.601,2,156.9793537,156979.3537,313958.7074,TRUE,"NO",156.9793537,5.22,1.23522004446367,1.40606272807942,156.9793537,1.40606272807942,"Climate",1.40606272807942,"IUCN",7933705804790.3,80817524708248.2,141.6
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Asio_otus","Asio_otus","Asio_otus","Animalia","Chordata","Aves","Strigidae","Find_Sci_Names","14.05","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",14.05,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Asio otus","25km","Asio otus_A10_P1","mat_25km_gVelLat",1.22883592455773,1.53652990996817,"Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",162000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",162,162,364.234,1,162,162000,162000,TRUE,"NO",162,14.05,1.23522004446367,1.22883592455773,162,1.22883592455773,"Climate",1.22883592455773,"BOTW",7933705804790.3,35423274659006.5,40.1
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Athene_cunicularia","Athene_cunicularia","Athene_cunicularia","Animalia","Chordata","Aves","Strigidae","Find_Sci_Names","13.54","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.54,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Athene cunicularia","25km","Athene cunicularia_A10_P1","mat_25km_gVelLat",0.732043501877846,1.25921847342821,"Strigiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6209029,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",109.6209029,109.6209029,365,1,109.6209029,109620.9029,109620.9029,TRUE,"NO",109.6209029,13.54,1.23522004446367,0.732043501877846,109.6209029,0.732043501877846,"Climate",0.732043501877846,"BOTW",7933705804790.3,15156308383786.2,43.4
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Aythya_affinis","Aythya_affinis","Aythya_affinis","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","0.97","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.97,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Aythya affinis","25km","Aythya affinis_A10_P1","mat_25km_gVelLat",1.22353894062331,1.51433436475655,"Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.697859425,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",0.697859425,0.697859425,365,1,0.697859425,697.859425,697.859425,TRUE,"NO",0.697859425,0.97,1.23522004446367,1.22353894062331,0.697859425,0.697859425,"Dispersal",NA,"IUCN",7933705804790.3,16453052439698.9,34.9
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Branta_canadensis","Branta_canadensis","Branta_canadensis","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","-0.33","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.33,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Branta canadensis","25km","Branta canadensis_A10_P1","mat_25km_gVelLat",1.19509316626627,1.50184051910362,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",128.7693721,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",128.7693721,128.7693721,730,2,64.38468605,64384.68605,128769.3721,FALSE,"YES",64.38468605,-0.33,1.23522004446367,1.19509316626627,64.38468605,1.19509316626627,"Climate",1.19509316626627,"IUCN",7933705804790.3,16355735423076,73.3
