"ID","mean_cv_studylevel","sd_cv_studylevel","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName_checked","scientificName","cv_res","species_studyid","cv_type","mean_cv_sppspecific","sd_cv_sppspecific","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","MaxDispersalDistanceKm","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","MedianDispersalPotentialKmY","ShiftKmY","ClimVeloTKmY_study","ClimVeloTKmY_spp","LimitingRate","what_is_limiting","colour","range_source","Area_m2_ID","Area_m2_range","Area_km2_range","BodySize"
"A104_P1",0.0143826027207372,0.202073663075906,"A104","P1",104,245,"Moreno-Rueda_al_2012_CB","10.1111/j.1523-1739.2011.01793.x",40.38753,-3.5551,493687,869.22,3408.88,0,3408.88,621.56,"Spain",NA,"Ter","LAT","LE","Natrix_natrix","Natrix_natrix","Natrix_natrix","Animalia","Chordata","Squamata","Colubridae","GBIF:6161347","Find_Sci_Names | order from NCBI using taxize","28.4285","km","U",NA,NA,"Supplementary Table",1940,1957.5,1975,1991,1998,2005,41.5,"Expansion",0.685,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","mean latitude of the 10 northernmost occupied grid cells","Mean of extremes","Natrix natrix","Natrix natrix","25km","Natrix natrix_A104_P1","mat_gVelLat_25km",0.0139688561559419,0.183291239901344,NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",114,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Squamata","Max","natal/breeding dispersal",0.114,0.114,1,1277.875,4,0.0285,0.0285,0.685,0.0143826027207372,0.0139688561559419,0.0139688561559419,"Climate",0.0139688561559419,"GARD",493686995123.258,14433280924168.2,14433280.9241682,NA
"A104_P1",0.0143826027207372,0.202073663075906,"A104","P1",104,245,"Moreno-Rueda_al_2012_CB","10.1111/j.1523-1739.2011.01793.x",40.38753,-3.5551,493687,869.22,3408.88,0,3408.88,621.56,"Spain",NA,"Ter","LAT","LE","Lacerta_vivipara","Zootoca_vivipara","Zootoca_vivipara","Animalia","Chordata","Squamata","Lacertidae","GBIF:9702100","Find_Sci_Names | order from NCBI using taxize","0.5041","km","U",NA,NA,"Supplementary Table",1940,1957.5,1975,1991,1998,2005,41.5,"Expansion",0.0121,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","mean latitude of the 10 northernmost occupied grid cells","Mean of extremes","Zootoca vivipara","Zootoca vivipara","25km","Zootoca vivipara_A104_P1","mat_gVelLat_25km",0.00981213649333166,0.082082569688,NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Squamata","Max","natal/breeding dispersal",0.1,0.1,1,11,1,0.1,0.1,0.0121,0.0143826027207372,0.00981213649333166,0.00981213649333166,"Climate",0.00981213649333166,"IUCN",493686995123.258,13973867728765.3,13973867.7287653,NA
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","LE","Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","GBIF:9752617","Find_Sci_Names","131.59","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Expansion",6.5795,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Ardea alba","Ardea alba","25km","Ardea alba_A107_P1","mat_gVelLat_25km",0.281147563865788,0.613934384563837,"Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",313.9587074,215.6583747,2,637.601,2,156.9793537,107.82918735,6.5795,1.03972517865633,0.281147563865788,0.281147563865788,"Climate",0.281147563865788,"IUCN",250486837832.008,80817524708248.2,80817524.7082482,141.6
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","LE","Buteo_lineatus","Buteo_lineatus","Buteo_lineatus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480529","Find_Sci_Names","-6.24","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-0.312,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Buteo lineatus","Buteo lineatus","25km","Buteo lineatus_A107_P1","mat_gVelLat_25km",0.338634424743571,0.679998274250505,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",36.36132188,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",36.36132188,24,4,365,1,36.36132188,24,-0.312,1.03972517865633,0.338634424743571,0.338634424743571,"Climate",0.338634424743571,"BOTW",250486837832.008,4090576966929.38,4090576.96692938,74.1
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","LE","Megascops_asio","Megascops_asio","Megascops_asio","Animalia","Chordata","Aves","Strigidae","GBIF:2497415","Find_Sci_Names","-43.69","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-2.1845,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Megascops asio","Megascops asio","25km","Megascops asio_A107_P1","mat_gVelLat_25km",0.316364671700886,0.665643398951728,"Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",159000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",159,158.5,3,365,1,159,158.5,-2.1845,1.03972517865633,0.316364671700886,0.316364671700886,"Climate",0.316364671700886,"BOTW",250486837832.008,4938942172484.74,4938942.17248474,35.5
"A107_P1",1.03972517865633,1.21601377497346,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ter","LAT","LE","Seiurus_motacilla","Parkesia_motacilla","Parkesia_motacilla","Animalia","Chordata","Aves","Parulidae","GBIF:6093862","Find_Sci_Names","-17.05","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-0.8525,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Parkesia motacilla","Parkesia motacilla","25km","Parkesia motacilla_A107_P1","mat_gVelLat_25km",0.223508422233596,0.557336105666869,"Passeriformes","natal dispersal","Robinson (1995)","Natal_dispersal_maximum_distance_(km)",4,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Aves","Max","natal dispersal",4,4,2,365,1,4,4,-0.8525,1.03972517865633,0.223508422233596,0.223508422233596,"Climate",0.223508422233596,"IUCN",250486837832.008,4813246080996.56,4813246.08099656,22.3
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Tachycineta_bicolor","Tachycineta_bicolor","Tachycineta_bicolor","Animalia","Chordata","Aves","Hirundinidae","GBIF:2489181","Find_Sci_Names","-20.09","km","U",NA,NA,"Table 2.2, pg 47-134",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-0.8036,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Tachycineta bicolor","Tachycineta bicolor","25km","Tachycineta bicolor_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Passeriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",67.55954831,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",67.55954831,6.4,5,365,1,67.55954831,6.4,-0.8036,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,17478049727373.8,17478049.7273738,12.2
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Actitis_macularia","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","GBIF:2481798","Find_Sci_Names","27.85","km","U",NA,NA,"Table 2.2, pg 47-103",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",1.114,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Actitis macularius","Actitis macularius","25km","Actitis macularius_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",147,146.85,2,365,1,147,146.85,1.114,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,34170167863421.1,34170167.8634211,24.2
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","GBIF:9761484","Find_Sci_Names","-4.22","km","U",NA,NA,"Table 2.2, pg 47-106",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-0.1688,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Anas platyrhynchos","Anas platyrhynchos","25km","Anas platyrhynchos_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",270.5094065,19.9,7,365,1,270.5094065,19.9,-0.1688,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,48513431370525.4,48513431.3705254,40.6
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Branta_canadensis","Branta_canadensis","Branta_canadensis","Animalia","Chordata","Aves","Anatidae","GBIF:5232437","Find_Sci_Names","-32.91","km","U",NA,NA,"Table 2.2, pg 47-108",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-1.3164,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Branta canadensis","Branta canadensis","25km","Branta canadensis_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",128.7693721,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",128.7693721,8.9,9,730,2,64.38468605,4.45,-1.3164,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,16355735423076,16355735.423076,73.3
