"scientificName_checked","ID","Type","Eco","Param","group","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","sdClimVeloKmY_RelScale","p90ClimVeloKmY_RelScale","p10ClimVeloKmY_RelScale","RelScale","ClimVeloKmY_25km","sdClimVeloKmY_25km","p90ClimVeloKmY_25km","p10ClimVeloKmY_25km","ClimVeloKmY_50km","sdClimVeloKmY_50km","p90ClimVeloKmY_50km","p10ClimVeloKmY_50km","ClimVeloKmY_110km","sdClimVeloKmY_110km","p90ClimVeloKmY_110km","p10ClimVeloKmY_110km","MaxDispersalDistanceKm","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","type","ObservationTypeGeneral","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","LimitingRate","LimitingRate_p90","what_is_limiting","what_is_limiting_p90","colour","colour_p90"
"Natrix natrix","A104_P1","LAT","Ter","LE","Squamata",0.685,0.0285,0.0285,0.0852365006132381,0.63179562529244,0.744210302829742,-0.690197587013245,"25km",0.0852365006132381,0.63179562529244,0.744210302829742,-0.690197587013245,0.411444569162504,0.893398827417304,1.47754390239716,-0.679049050807953,1.27636121229288,0.95662772068996,2.25222444534302,-0.0215671613812446,0.114,"A104","P1",104,245,"Moreno-Rueda_al_2012_CB","10.1111/j.1523-1739.2011.01793.x",40.38753,-3.5551,493687,869.22,3408.88,0,3408.88,621.56,"Spain",NA,"Natrix_natrix","Natrix_natrix","Natrix_natrix","Animalia","Chordata","Squamata","Colubridae","GBIF:6161347","Find_Sci_Names | order from NCBI using taxize","28.4285","km","U",NA,NA,"Supplementary Table",1940,1957.5,1975,1991,1998,2005,41.5,"Expansion",0.685,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","mean latitude of the 10 northernmost occupied grid cells","Mean of extremes","Natrix natrix",NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",114,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",0.114,1,1277.875,4,0.0285,0.0285,"Dispersal","Dispersal",NA,NA
"Ardea alba","A107_P1","LAT","Ter","LE","Aves",6.5795,156.9793537,107.82918735,1.88490321238836,0.236937136626819,2.14788269996643,1.63801181316376,"110km",1.5717944146267,0.862073640621224,2.56980028152466,0.859556376934052,1.78681214208956,0.319586574318189,2.16851234436035,1.41064939498901,1.88490321238836,0.236937136626819,2.14788269996643,1.63801181316376,313.9587074,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","GBIF:9752617","Find_Sci_Names","131.59","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Expansion",6.5795,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Ardea alba","Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",215.6583747,2,637.601,2,1.88490321238836,2.14788269996643,"Climate","Climate",1.88490321238836,2.14788269996643
"Buteo lineatus","A107_P1","LAT","Ter","LE","Aves",-0.312,36.36132188,24,1.76392760712367,1.36884222313266,3.48850364685059,0.771149802207947,"25km",1.76392760712367,1.36884222313266,3.48850364685059,0.771149802207947,2.51668588231119,1.22569497815107,3.87619400024414,1.52640631198883,2.86908078735525,0.896556181112517,3.72416048049927,1.68911315202713,36.36132188,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Buteo_lineatus","Buteo_lineatus","Buteo_lineatus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480529","Find_Sci_Names","-6.24","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-0.312,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Buteo lineatus","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",36.36132188,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",24,4,365,1,1.76392760712367,3.48850364685059,"Climate","Climate",1.76392760712367,3.48850364685059
"Megascops asio","A107_P1","LAT","Ter","LE","Aves",-2.1845,159,158.5,2.58038503925006,0.808912692443262,3.69814140796661,1.68911315202713,"110km",1.9347779158975,1.08020701205967,3.71870007514954,0.882011914253235,2.42629443024689,0.980287501793822,3.80739316940308,1.56069159507751,2.58038503925006,0.808912692443262,3.69814140796661,1.68911315202713,159,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Megascops_asio","Megascops_asio","Megascops_asio","Animalia","Chordata","Aves","Strigidae","GBIF:2497415","Find_Sci_Names","-43.69","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-2.1845,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Megascops asio","Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",159000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",158.5,3,365,1,2.58038503925006,3.69814140796661,"Climate","Climate",2.58038503925006,3.69814140796661
"Parkesia motacilla","A107_P1","LAT","Ter","LE","Aves",-0.8525,4,4,1.68956284782161,0.915786034179966,3.09802660942078,0.860189199447632,"25km",1.68956284782161,0.915786034179966,3.09802660942078,0.860189199447632,1.85213776735159,0.332870986660957,2.34031355381012,1.41199690103531,1.88490321238836,0.236937136626819,2.14788269996643,1.63801181316376,4,"A107","P1",107,NA,"Kreuser_2013_Thesis","n/a",44.87477,-85.73095,250486.84,716.86,1826.07,8.96,1835.04,364.21,"Michigan, USA",NA,"Seiurus_motacilla","Parkesia_motacilla","Parkesia_motacilla","Animalia","Chordata","Aves","Parulidae","GBIF:6093862","Find_Sci_Names","-17.05","km","U",NA,NA,"Table D1, pgs. 54-56",1983,1985.5,1988,2001,2004.5,2008,20,"Contraction",-0.8525,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean and maximum and minimum latitude of the 10 to 25 northernmost grids","Mean of extremes","Parkesia motacilla","Passeriformes","natal dispersal","Robinson (1995)","Natal_dispersal_maximum_distance_(km)",4,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",4,2,365,1,1.68956284782161,3.09802660942078,"Climate","Climate",1.68956284782161,3.09802660942078
"Tachycineta bicolor","A108_P1","LAT","Ter","LE","Aves",-0.8036,67.55954831,6.4,2.130021,1.140814,3.348235,0.7844886,"50km",1.318115,1.076454,2.473383,0.3436846,2.130021,1.140814,3.348235,0.7844886,2.040755,0.6196508,2.782699,1.182021,67.55954831,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Tachycineta_bicolor","Tachycineta_bicolor","Tachycineta_bicolor","Animalia","Chordata","Aves","Hirundinidae","GBIF:2489181","Find_Sci_Names","-20.09","km","U",NA,NA,"Table 2.2, pg 47-134",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-0.8036,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Tachycineta bicolor","Passeriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",67.55954831,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",6.4,5,365,1,2.130021,3.348235,"Climate","Climate",2.130021,3.348235
"Actitis macularius","A108_P1","LAT","Ter","LE","Aves",1.114,147,146.85,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,"110km",1.3181151027409,1.07645447223557,2.47338328361511,0.343684577941894,2.13002146067827,1.14081422513918,3.34823453426361,0.784488648176193,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,147,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Actitis_macularia","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","GBIF:2481798","Find_Sci_Names","27.85","km","U",NA,NA,"Table 2.2, pg 47-103",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",1.114,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Actitis macularius","Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",146.85,2,365,1,2.0407550573349,2.78269855976105,"Climate","Climate",2.0407550573349,2.78269855976105
"Anas platyrhynchos","A108_P1","LAT","Ter","LE","Aves",-0.1688,270.5094065,19.9,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,"110km",1.3181151027409,1.07645447223557,2.47338328361511,0.343684577941894,2.13002146067827,1.14081422513918,3.34823453426361,0.784488648176193,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,270.5094065,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","GBIF:9761484","Find_Sci_Names","-4.22","km","U",NA,NA,"Table 2.2, pg 47-106",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-0.1688,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Anas platyrhynchos","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",19.9,7,365,1,2.0407550573349,2.78269855976105,"Climate","Climate",2.0407550573349,2.78269855976105
"Branta canadensis","A108_P1","LAT","Ter","LE","Aves",-1.3164,64.38468605,4.45,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,"110km",1.3181151027409,1.07645447223557,2.47338328361511,0.343684577941894,2.13002146067827,1.14081422513918,3.34823453426361,0.784488648176193,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,128.7693721,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Branta_canadensis","Branta_canadensis","Branta_canadensis","Animalia","Chordata","Aves","Anatidae","GBIF:5232437","Find_Sci_Names","-32.91","km","U",NA,NA,"Table 2.2, pg 47-108",1982,1984.5,1987,2006,2008.5,2011,25,"Contraction",-1.3164,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Branta canadensis","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",128.7693721,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",8.9,9,730,2,2.0407550573349,2.78269855976105,"Climate","Climate",2.0407550573349,2.78269855976105
"Circus cyaneus","A108_P1","LAT","Ter","LE","Aves",0.2964,60.8,22,2.13002146067827,1.14081422513918,3.34823453426361,0.784488648176193,"50km",1.3181151027409,1.07645447223557,2.47338328361511,0.343684577941894,2.13002146067827,1.14081422513918,3.34823453426361,0.784488648176193,2.0407550573349,0.619650815916434,2.78269855976105,1.18202087879181,60.8,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Circus_cyaneus","Circus_cyaneus","Circus_cyaneus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480487","Find_Sci_Names","7.41","km","U",NA,NA,"Table 2.2, pg 47-111",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",0.2964,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Circus cyaneus","Accipitriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",60800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",22,3,365,1,2.13002146067827,3.34823453426361,"Climate","Climate",2.13002146067827,3.34823453426361
