scientificName_checked,ID,Type,Eco,Param,group,ShiftKmY,DispersalPotentialKmY,MedianDispersalPotentialKmY,ClimVeloKmY_RelScale,sdClimVeloKmY_RelScale,q1ClimVeloKmY_RelScale,q3ClimVeloKmY_RelScale,RelScale,ClimVeloKmY_25km,sdClimVeloKmY_25km,q1ClimVeloKmY_25km,q3ClimVeloKmY_25km,ClimVeloKmY_50km,sdClimVeloKmY_50km,q1ClimVeloKmY_50km,q3ClimVeloKmY_50km,ClimVeloKmY_110km,sdClimVeloKmY_110km,q1ClimVeloKmY_110km,q3ClimVeloKmY_110km,MaxDispersalDistanceKm,Article_ID,Study_ID,ID_BioShifts,ID_CoRE,Article,DOI,LatCentDeg,LonCentDeg,Areakm2,LatExtentk,Latmin,Latmax,EleExtentm,Eleminm,Elemaxm,Elemeanm,Study_area,Subsp_or_Pop,sp_name_publication,sp_name_database,sp_name_checked,kingdom,phylum,class,family,taxonID,taxon_method,Trend,unit,Significance,Magnitude,Angle,FigTable,START_firstperiod,MIDPOINT_firstperiod,END_firstperiod,START_secondperiod,MIDPOINT_secondperiod,END_secondperiod,Duration,Direction,Rate,UnitRate,Grain_size,N_periodes,Sampling,Category,Obs_type,Uncertainty_distribution,Position_definition,Position_definition_category,scientificName,order,ObservationTypeSpecific,DispersalSource,Field,DispersalDistance,Code,DispersalUnit,Database,Sex,type,ObservationTypeGeneral,MedianDispersalDistanceKm,NObs_MedianDispersalDistanceKm,AgeAtMaturityDays,AgeAtMaturity,AgeAtMaturityDatabase,Unit,AgeAtMaturyCode,YearOfMaturity,temp_var,range_source,along_gradient,LimitingRate,LimitingRate_median,LimitingRate_q3,LimitingRate_q3_median,what_is_limiting,what_is_limiting_q3,colour,colour_q3
Accipiter cooperii,A10_P1,LAT,Ter,LE,Bird,13.78,28.85915656,17.6,1.447502235,1.910706897,0.314148068,2.56801796,50km,1.158629434,1.722537415,0.099813849,2.096656561,1.447502235,1.910706897,0.314148068,2.56801796,1.958994249,1.7961025,0.897773147,3.08259058,57.71831312,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Accipiter_cooperii,Accipiter_cooperii,Accipiter_cooperii,Animalia,Chordata,Aves,Accipitridae,GBIF:2480621,Find_Sci_Names,13.78,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,13.78,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Accipiter cooperii,Accipitriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,57.71831312,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,35.2,5,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,BOTW,latitude,1.447502235,1.447502235,2.56801796,2.56801796,Climate,Climate,1.447502235,2.56801796
Actitis macularius,A10_P1,LAT,Ter,LE,Bird,1.92,147,146.85,1.958589779,1.79168543,0.900392354,3.078540325,110km,1.159993101,1.719834635,0.103367619,2.095848799,1.449469968,1.90819939,0.320878923,2.564604759,1.958589779,1.79168543,0.900392354,3.078540325,147,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Actitis_macularius,Actitis_macularius,Actitis_macularius,Animalia,Chordata,Aves,Scolopacidae,GBIF:2481798,Find_Sci_Names,1.92,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,1.92,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Actitis macularius,Charadriiformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),147000,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,146.85,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,1.958589779,1.958589779,3.078540325,3.078540325,Climate,Climate,1.958589779,3.078540325
Aix sponsa,A10_P1,LAT,Ter,LE,Bird,7.02,9.102877271,4.089744502,1.393553437,1.763087255,0.242260456,2.394603968,25km,1.393553437,1.763087255,0.242260456,2.394603968,1.713112189,1.875243474,0.529325306,2.847732067,2.130149855,1.772698557,1.114606977,3.32839632,9.102877271,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Aix_sponsa,Aix_sponsa,Aix_sponsa,Animalia,Chordata,Aves,Anatidae,GBIF:2498387,Find_Sci_Names,7.02,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,7.02,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Aix sponsa,Anseriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,9.102877271,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,4.089744502,4,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,1.393553437,1.393553437,2.394603968,2.394603968,Climate,Climate,1.393553437,2.394603968
Anas acuta,A10_P1,LAT,Ter,LE,Bird,3.92,2.541645117,2.541645117,1.334408566,1.750139076,0.277962983,2.308237076,25km,1.334408566,1.750139076,0.277962983,2.308237076,1.651467114,1.89179664,0.581812024,2.757386446,2.190579508,1.634731058,1.262987733,3.249505997,2.541645117,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Anas_acuta,Anas_acuta,Anas_acuta,Animalia,Chordata,Aves,Anatidae,GBIF:2498112,Find_Sci_Names,3.92,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,3.92,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Anas acuta,Anseriformes,geometric/arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,geom/arimean,2.541645117,SingleObservation,km,Chu & Clairmunt 2023,NA,Unknown,natal dispersal,2.541645117,2,240,240,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,1.334408566,1.334408566,2.308237076,2.308237076,Climate,Climate,1.334408566,2.308237076
Anas platyrhynchos,A10_P1,LAT,Ter,LE,Bird,-0.14,270.5094065,19.9,1.95770385,1.792706082,0.897773147,3.078540325,110km,1.160376,1.72079111,0.103124849,2.096656561,1.449915141,1.908367433,0.318212301,2.563946247,1.95770385,1.792706082,0.897773147,3.078540325,270.5094065,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,Animalia,Chordata,Aves,Anatidae,GBIF:9761484,Find_Sci_Names,-0.14,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Contraction,-0.14,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Anas platyrhynchos,Anseriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,270.5094065,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,19.9,7,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,1.95770385,1.95770385,3.078540325,3.078540325,Climate,Climate,1.95770385,3.078540325
Ardea alba,A10_P1,LAT,Ter,LE,Bird,5.22,156.9793537,107.8291874,2.233158181,1.631989978,1.262987733,3.219561577,110km,1.378384378,1.74022177,0.293568403,2.350301027,1.696613461,1.852494437,0.59409672,2.807961226,2.233158181,1.631989978,1.262987733,3.219561577,313.9587074,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Ardea_alba,Ardea_alba,Ardea_alba,Animalia,Chordata,Aves,Ardeidae,GBIF:9752617,Find_Sci_Names,5.22,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,5.22,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Ardea alba,Pelecaniformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,313.9587074,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,215.6583747,2,637.601,637.601,Amniota,days,AgeAtMaturity,2,Mean Air Temperature,IUCN,latitude,2.233158181,2.233158181,3.219561577,3.219561577,Climate,Climate,2.233158181,3.219561577
Asio otus,A10_P1,LAT,Ter,LE,Bird,14.05,162,15.421,1.957190708,1.846175371,0.832676709,3.157552719,110km,1.187833029,1.75794043,0.092526905,2.188765287,1.48411431,1.937958472,0.294338107,2.679861546,1.957190708,1.846175371,0.832676709,3.157552719,162,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Asio_otus,Asio_otus,Asio_otus,Animalia,Chordata,Aves,Strigidae,GBIF:2497306,Find_Sci_Names,14.05,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,14.05,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Asio otus,Strigiformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),162000,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,15.421,5,364.234,364.234,Amniota,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,1.957190708,1.957190708,3.157552719,3.157552719,Climate,Climate,1.957190708,3.157552719
Athene cunicularia,A10_P1,LAT,Ter,LE,Bird,13.54,109.6209029,30,1.571310412,1.836939995,0.525148928,2.59835124,110km,0.710616193,1.533448058,-0.083248824,1.447361708,0.94770409,1.84045538,0.034685835,1.883425951,1.571310412,1.836939995,0.525148928,2.59835124,109.6209029,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Athene_cunicularia,Athene_cunicularia,Athene_cunicularia,Animalia,Chordata,Aves,Strigidae,GBIF:2497240,Find_Sci_Names,13.54,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,13.54,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Athene cunicularia,Strigiformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,109.6209029,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,30,4,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,1.571310412,1.571310412,2.59835124,2.59835124,Climate,Climate,1.571310412,2.59835124
Aythya affinis,A10_P1,LAT,Ter,LE,Bird,0.97,0.697859425,0.697859425,1.194756691,1.740630755,0.1124008,2.164417982,25km,1.194756691,1.740630755,0.1124008,2.164417982,1.483878112,1.919477602,0.343472302,2.635024548,1.991342874,1.791754915,0.913888097,3.136437893,0.697859425,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Aythya_affinis,Aythya_affinis,Aythya_affinis,Animalia,Chordata,Aves,Anatidae,GBIF:2498257,Find_Sci_Names,0.97,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Expansion,0.97,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Aythya affinis,Anseriformes,geometric/arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,geom/arimean,0.697859425,SingleObservation,km,Chu & Clairmunt 2023,NA,Unknown,natal dispersal,0.697859425,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,0.697859425,0.697859425,0.697859425,0.697859425,Dispersal,Dispersal,NA,NA
Branta canadensis,A10_P1,LAT,Ter,LE,Bird,-0.33,64.38468605,4.45,1.904460157,1.784484015,0.893878341,3.054584026,110km,1.163243428,1.719946244,0.101593167,2.11281538,1.438896828,1.912516375,0.311760038,2.557471275,1.904460157,1.784484015,0.893878341,3.054584026,128.7693721,A10,P1,10,73,LaSorte_Thompson_2007_Ecology,10.1890/06-1072.1,39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,Branta_canadensis,Branta_canadensis,Branta_canadensis,Animalia,Chordata,Aves,Anatidae,GBIF:5232437,Find_Sci_Names,-0.33,km/year,U,NA,NA,Table A1,1975,1975,1975,2004,2004,2004,30,Contraction,-0.33,km/year,large,10,MULTIPLE(continuous),TimeSeries,occurrence,Raw,Maximum latitude of the 12 km radius survey circle where the species was documented,Extreme per band,Branta canadensis,Anseriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,128.7693721,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,8.9,9,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,IUCN,latitude,1.904460157,1.904460157,3.054584026,3.054584026,Climate,Climate,1.904460157,3.054584026
