"x"
"Accipiter cooperii"
"Actitis macularius"
"Aix sponsa"
"Anas acuta"
"Anas platyrhynchos"
"Ardea alba"
"Asio otus"
"Athene cunicularia"
"Aythya affinis"
"Branta canadensis"
"Bucephala clangula"
"Buteo jamaicensis"
"Buteo lineatus"
"Campylorhynchus brunneicapillus"
"Circus cyaneus"
"Corvus brachyrhynchos"
"Cygnus buccinator"
"Egretta thula"
"Elanus leucurus"
"Eudocimus albus"
"Falco columbarius"
"Falco mexicanus"
"Gallinula chloropus"
"Grus canadensis"
"Gymnorhinus cyanocephalus"
"Haliaeetus leucocephalus"
"Lanius ludovicianus"
"Larus argentatus"
"Larus californicus"
"Larus delawarensis"
"Lophodytes cucullatus"
"Meleagris gallopavo"
"Melospiza melodia"
"Mergus merganser"
"Molothrus ater"
"Mycteria americana"
"Myiarchus cinerascens"
"Nycticorax nycticorax"
"Parabuteo unicinctus"
"Passer domesticus"
"Passerculus sandwichensis"
"Pelecanus erythrorhynchos"
"Plegadis chihi"
"Sayornis nigricans"
"Scolopax minor"
"Sialia mexicana"
"Sialia sialis"
"Sitta pusilla"
"Tachycineta bicolor"
"Toxostoma curvirostre"
"Troglodytes troglodytes"
"Tympanuchus cupido"
"Vireo griseus"
"Zenaida macroura"
"Zonotrichia leucophrys"
"Megascops asio"
"Parkesia motacilla"
"Riparia riparia"
"Cathartes aura"
"Dryocopus pileatus"
"Strix varia"
"Troglodytes aedon"
"Falco sparverius"
"Hirundo rustica"
"Hylocichla mustelina"
"Passerina cyanea"
"Bubo virginianus"
"Progne subis"
"Acrocephalus scirpaceus"
"Alcedo atthis"
"Carduelis carduelis"
"Garrulus glandarius"
"Motacilla flava"
"Pica pica"
"Picus viridis"
"Poecile palustris"
"Sitta europaea"
"Tyto alba"
"Accipiter gentilis"
"Columba oenas"
"Cerastium fontanum"
"Cirsium arvense"
"Cirsium palustre"
"Cirsium vulgare"
"Crepis capillaris"
"Daucus carota"
"Stellaria media"
"Suaeda maritima"
"Taraxacum officinale"
"Achillea millefolium"
"Achillea ptarmica"
"Angelica sylvestris"
"Anthoxanthum odoratum"
