"Genus","reported_name_fixed","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","reported_name","scientificName","kingdom.x","phylum.x","class.x","order.x","family.x","db","db_code","START","END","DUR","kingdom.y","phylum.y","class.y","order.y","family.y","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm","MaxDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","DispersalPotentialmY","DispersalDistancem","annual_dispersal_pot","climate_velocity","ShiftKmY","ClimVeloTKmY","AnnualDispPotKmY"
"Erithacus","Erithacus rubecula","North","Terrestrial","Elevation","Centroid",4.85106383,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",1,1796,"Erithacus rubecula","Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492462",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",79800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",79.8,79.8,364.234,1,79.8,79800,79800,79800,13.12588458,0.00485106383,0.01312588458,79.8
"Parus","Parus major","North","Terrestrial","Elevation","Centroid",0.042553191,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",4,1817,"Parus major","Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:9705453",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Paridae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",41100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",41.1,41.1,365,1,41.1,41100,41100,41100,13.12588458,4.2553191e-05,0.01312588458,41.1
"Troglodytes","Troglodytes troglodytes","North","Terrestrial","Elevation","Centroid",2.29787234,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",14,2030,"Troglodytes troglodytes","Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","gbif","GBIF:5231438",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",38300,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",38.3,38.3,364.234,1,38.3,38300,38300,38300,13.12588458,0.00229787234,0.01312588458,38.3
"Turdus","Turdus merula","North","Terrestrial","Elevation","Centroid",1.191489362,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",18,2520,"Turdus merula","Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif","GBIF:2490719",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Turdidae","natal dispersal","Allen and Nice (1952), Greenwood and Harvey (1977)","Natal_dispersal_maximum_distance_(km)",355,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",355,355,364.234,1,355,355000,355000,355000,13.12588458,0.001191489362,0.01312588458,355
"Sylvia","Sylvia atricapilla","North","Terrestrial","Elevation","Centroid",0.127659574,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",21,1752,"Sylvia atricapilla","Sylvia atricapilla","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2492956",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Sylviidae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",117000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",117,117,364.234,1,117,117000,117000,117000,13.12588458,0.000127659574,0.01312588458,117
"Cyanistes","Cyanistes caeruleus","North","Terrestrial","Elevation","Centroid",2.808510638,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,0.053956963,"endo",1,"A1_P1",23,2158,"Cyanistes caeruleus","Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487879",1979,2001.5,23.5,"Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Berndt and Sternberg (1968)","Natal_dispersal_maximum_distance_(km)",470,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",470,470,365,1,470,470000,470000,470000,13.12588458,0.002808510638,0.01312588458,470
"Troglodytes","Troglodytes troglodytes","North","Terrestrial","Elevation","Centroid",0.892857143,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,0.028638168,"endo",1,"A1_P2",36,1746,"Troglodytes troglodytes","Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","gbif","GBIF:5231438",1973.5,2000.5,28,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",38300,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",38.3,38.3,364.234,1,38.3,38300,38300,38300,9.119253564,0.000892857143,0.009119253564,38.3
"Turdus","Turdus merula","North","Terrestrial","Elevation","Centroid",3.714285714,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,0.028638168,"endo",1,"A1_P2",38,3513,"Turdus merula","Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif","GBIF:2490719",1973.5,2000.5,28,"Animalia","Chordata","Aves","Passeriformes","Turdidae","natal dispersal","Allen and Nice (1952), Greenwood and Harvey (1977)","Natal_dispersal_maximum_distance_(km)",355,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",355,355,364.234,1,355,355000,355000,355000,9.119253564,0.003714285714,0.009119253564,355
"Zonotrichia","Zonotrichia leucophrys","North","Terrestrial","Latitudinal","Centroid",0.57,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,834.6827987,"endo",10,"A10_P1",42,1854,"Zonotrichia leucophrys","Zonotrichia leucophrys","Animalia","Chordata","Aves","Passeriformes","Passerellidae","gbif","GBIF:5231132",1975,2004,30,"Animalia","Chordata","Aves","Passeriformes","Passerellidae","natal dispersal","Baker and Mewaldt (1978)","Natal_dispersal_maximum_distance_(km)",2.6,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",2.6,2.6,365,1,2.6,2600,2600,2.6,1.019699697,0.57,1.019699697,2.6
"Falco","Falco columbarius","North","Terrestrial","Latitudinal","Leading edge",0.12,NA,1.019699697,"km/year",10.95786,0.16097585847532,"ABUND","MULT","COARSE","YES","LOW",254,1975,834.6827987,"endo",10,"A10_P1",46,1767,"Falco columbarius","Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:9813242",1975,2004,30,"Animalia","Chordata","Aves","Falconiformes","Falconidae","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",81100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",81.1,81.1,365,1,81.1,81100,81100,81.1,1.019699697,0.12,1.019699697,81.1
