"ID","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","Latmin","Latmax","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName_checked","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","MaxDispersalDistanceKm","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","AgeAtMaturity","AgeAtMaturityDatabase","Unit","AgeAtMaturyCode","YearOfMaturity","DispersalPotentialKmY","MedianDispersalPotentialKmY","ShiftKmY"
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Aegithalos_caudatus","Aegithalos_caudatus","Aegithalos_caudatus","Animalia","Chordata","Aves","Aegithalidae","GBIF:2495000","Find_Sci_Names","-52","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-2.2128,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Aegithalos caudatus","Aegithalos caudatus","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",24900,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",24.9,3.7,5,365,365,"AnAge","days","AgeAtMaturity",1,24.9,3.7,-0.0022128
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Dendrocopos_major","Dendrocopos_major","Dendrocopos_major","Animalia","Chordata","Aves","Picidae","GBIF:2477968","Find_Sci_Names","-185","m","Y",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-7.8723,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Dendrocopos major","Dendrocopos major",NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",56100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",56.1,5.875,5,365,365,"AnAge","days","AgeAtMaturity",1,56.1,5.875,-0.0078723
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Erithacus_rubecula","Erithacus_rubecula","Erithacus_rubecula","Animalia","Chordata","Aves","Muscicapidae","GBIF:2492462","Find_Sci_Names","114","m","Y",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Higher Elevation",4.8511,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Erithacus rubecula","Erithacus rubecula","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",79800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",79.8,6,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,79.8,6,0.0048511
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Fringilla_coelebs","Fringilla_coelebs","Fringilla_coelebs","Animalia","Chordata","Aves","Fringillidae","GBIF:2494422","Find_Sci_Names","-31","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-1.3191,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Fringilla coelebs","Fringilla coelebs","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",22600,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",22.6,2.6,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,22.6,2.6,-0.0013191
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Garrulus_glandarius","Garrulus_glandarius","Garrulus_glandarius","Animalia","Chordata","Aves","Corvidae","GBIF:5229493","Find_Sci_Names","-70","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-2.9787,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Garrulus glandarius","Garrulus glandarius","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",19000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",19,2.8,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,19,2.8,-0.0029787
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Parus_ater","Parus_afer","Periparus_ater","Animalia","Chordata","Aves","Paridae","GBIF:2487871","Find_Sci_Names","-98","m","Y",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-4.1702,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Periparus ater","Parus afer","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",31000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",31,2.597,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,31,2.597,-0.0041702
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Parus_caeruleus","Cyanistes_caeruleus","Cyanistes_caeruleus","Animalia","Chordata","Aves","Paridae","GBIF:2487879","Find_Sci_Names","66","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Higher Elevation",2.8085,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Cyanistes caeruleus","Cyanistes caeruleus","Passeriformes","natal dispersal","Berndt and Sternberg (1968)","Natal_dispersal_maximum_distance_(km)",470,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Aves","Max","natal dispersal",470,2.3,7,365,365,"AnAge","days","AgeAtMaturity",1,470,2.3,0.0028085
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Parus_major","Parus_major","Parus_major","Animalia","Chordata","Aves","Paridae","GBIF:9705453","Find_Sci_Names","1","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Higher Elevation",0.0426,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Parus major","Parus major","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",41100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",41.1,2.5,7,365,365,"AnAge","days","AgeAtMaturity",1,41.1,2.5,4.26e-05
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Parus_palustris","Poecile_palustris","Poecile_palustris","Animalia","Chordata","Aves","Paridae","GBIF:2487843","Find_Sci_Names","-33","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-1.4043,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Poecile palustris","Poecile palustris","Passeriformes","natal dispersal","Nilsson (1989)","Natal_dispersal_maximum_distance_(km)",4.6,"MaxDispersalDistance","km","Sutherland (birds)","m","Aves","Max","natal dispersal",4.6,2.85,2,364.234,364.234,"Amniota","days","AgeAtMaturity",1,4.6,2.85,-0.0014043
"A1_P1","A1","P1",1,150,"Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",46.10779,6.6211,463.67,18.82,5450640.29,5469459.26,1717.65,464.08,2181.73,1169.48,"French Alps (giffre Valley)","Giffre Valley","Ter","ELE","O","Pyrrhula_pyrrhula","Pyrrhula_pyrrhula","Pyrrhula_pyrrhula","Animalia","Chordata","Aves","Fringillidae","GBIF:2494543","Find_Sci_Names","-15","m","N",NA,NA,"Table 3 pg 143",1978,1979,1980,2001,2001.5,2002,23.5,"Lower Elevation",-0.6383,"m/year","small",2,"TWO","Survey-Resurvey","occurrence","Resurveyed","Number of occurrences and mean elevation at two time points within same study area","Mean","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",24200,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",24.2,2.5,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,24.2,2.5,-0.0006383
