"scientificName_checked","ID","Type","Eco","Param","group","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","sdClimVeloKmY_RelScale","q1ClimVeloKmY_RelScale","q3ClimVeloKmY_RelScale","RelScale","ClimVeloKmY_25km","sdClimVeloKmY_25km","q1ClimVeloKmY_25km","q3ClimVeloKmY_25km","ClimVeloKmY_50km","sdClimVeloKmY_50km","q1ClimVeloKmY_50km","q3ClimVeloKmY_50km","ClimVeloKmY_110km","sdClimVeloKmY_110km","q1ClimVeloKmY_110km","q3ClimVeloKmY_110km","MaxDispersalDistanceKm","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","Latmin","Latmax","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","type","ObservationTypeGeneral","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","AgeAtMaturity","AgeAtMaturityDatabase","Unit","AgeAtMaturyCode","YearOfMaturity","temp_var","range_source","along_gradient"
"Accipiter cooperii","A10_P1","LAT","Ter","LE","Aves",13.78,28.85915656,17.6,1.44750223465226,1.91070689663173,0.31414806842804,2.56801795959473,"50km",1.15862943408405,1.72253741474623,0.099813848733902,2.09665656089783,1.44750223465226,1.91070689663173,0.31414806842804,2.56801795959473,1.95899424880966,1.79610250026987,0.897773146629333,3.08259057998657,57.71831312,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Accipiter_cooperii","Accipiter_cooperii","Accipiter_cooperii","Animalia","Chordata","Aves","Accipitridae","GBIF:2480621","Find_Sci_Names","13.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Accipiter cooperii","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",57.71831312,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",35.2,5,730,730,"AnAge","days","AgeAtMaturity",2,"Mean Air Temperature","BOTW","latitude"
"Actitis macularius","A10_P1","LAT","Ter","LE","Aves",1.92,147,146.85,1.95858977889257,1.79168542997813,0.900392353534698,3.0785403251648,"110km",1.159993101198,1.7198346348055,0.103367619216442,2.09584879875183,1.44946996798757,1.90819938997401,0.320878922939301,2.56460475921631,1.95858977889257,1.79168542997813,0.900392353534698,3.0785403251648,147,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Actitis_macularius","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","GBIF:2481798","Find_Sci_Names","1.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",1.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Actitis macularius","Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",146.85,2,365,365,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","IUCN","latitude"
"Aix sponsa","A10_P1","LAT","Ter","LE","Aves",7.02,9.102877271,4.089744502,1.39355343742335,1.76308725497609,0.242260456085205,2.39460396766663,"25km",1.39355343742335,1.76308725497609,0.242260456085205,2.39460396766663,1.71311218855102,1.87524347436916,0.529325306415558,2.84773206710815,2.13014985515479,1.77269855742516,1.11460697650909,3.32839632034302,9.102877271,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Aix_sponsa","Aix_sponsa","Aix_sponsa","Animalia","Chordata","Aves","Anatidae","GBIF:2498387","Find_Sci_Names","7.02","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",7.02,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Aix sponsa","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",9.102877271,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",4.089744502,4,365,365,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","IUCN","latitude"
"Anas acuta","A10_P1","LAT","Ter","LE","Aves",3.92,2.541645117,2.541645117,1.33440856620613,1.75013907558456,0.277962982654572,2.30823707580566,"25km",1.33440856620613,1.75013907558456,0.277962982654572,2.30823707580566,1.65146711443932,1.89179664035218,0.581812024116516,2.75738644599915,2.19057950779833,1.63473105776645,1.26298773288727,3.2495059967041,2.541645117,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Anas_acuta","Anas_acuta","Anas_acuta","Animalia","Chordata","Aves","Anatidae","GBIF:2498112","Find_Sci_Names","3.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Anas acuta","Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",2.541645117,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",2.541645117,2,240,240,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","IUCN","latitude"
"Anas platyrhynchos","A10_P1","LAT","Ter","LE","Aves",-0.14,270.5094065,19.9,1.95770384957713,1.79270608209759,0.897773146629333,3.0785403251648,"110km",1.16037599964989,1.72079111022566,0.103124849498272,2.09665656089783,1.44991514072883,1.90836743339147,0.318212300539017,2.56394624710083,1.95770384957713,1.79270608209759,0.897773146629333,3.0785403251648,270.5094065,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","GBIF:9761484","Find_Sci_Names","-0.14","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.14,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Anas platyrhynchos","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",19.9,7,365,365,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","IUCN","latitude"
"Ardea alba","A10_P1","LAT","Ter","LE","Aves",5.22,156.9793537,107.82918735,2.23315818127486,1.63198997802869,1.26298773288727,3.21956157684326,"110km",1.3783843783729,1.74022176959352,0.293568402528763,2.35030102729797,1.69661346070675,1.85249443745232,0.594096720218658,2.80796122550964,2.23315818127486,1.63198997802869,1.26298773288727,3.21956157684326,313.9587074,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","GBIF:9752617","Find_Sci_Names","5.22","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",5.22,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Ardea alba","Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",215.6583747,2,637.601,637.601,"Amniota","days","AgeAtMaturity",2,"Mean Air Temperature","IUCN","latitude"
"Asio otus","A10_P1","LAT","Ter","LE","Aves",14.05,162,15.421,1.95719070840999,1.84617537076767,0.832676708698273,3.15755271911621,"110km",1.18783302870186,1.75794042988471,0.0925269052386284,2.18876528739929,1.48411431044121,1.93795847200787,0.29433810710907,2.67986154556274,1.95719070840999,1.84617537076767,0.832676708698273,3.15755271911621,162,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Asio_otus","Asio_otus","Asio_otus","Animalia","Chordata","Aves","Strigidae","GBIF:2497306","Find_Sci_Names","14.05","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",14.05,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Asio otus","Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",162000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",15.421,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,"Mean Air Temperature","BOTW","latitude"
"Athene cunicularia","A10_P1","LAT","Ter","LE","Aves",13.54,109.6209029,30,1.5713104116428,1.83693999526335,0.525148928165436,2.59835124015808,"110km",0.710616192882344,1.53344805845711,-0.0832488238811493,1.44736170768738,0.947704089522569,1.84045538002856,0.0346858352422714,1.88342595100403,1.5713104116428,1.83693999526335,0.525148928165436,2.59835124015808,109.6209029,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Athene_cunicularia","Athene_cunicularia","Athene_cunicularia","Animalia","Chordata","Aves","Strigidae","GBIF:2497240","Find_Sci_Names","13.54","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.54,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Athene cunicularia","Strigiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6209029,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",30,4,365,365,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","BOTW","latitude"
"Aythya affinis","A10_P1","LAT","Ter","LE","Aves",0.97,0.697859425,0.697859425,1.19475669074458,1.74063075540229,0.1124007999897,2.16441798210144,"25km",1.19475669074458,1.74063075540229,0.1124007999897,2.16441798210144,1.48387811247374,1.91947760237081,0.343472301959991,2.6350245475769,1.99134287357328,1.79175491529043,0.913888096809387,3.13643789291382,0.697859425,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Aythya_affinis","Aythya_affinis","Aythya_affinis","Animalia","Chordata","Aves","Anatidae","GBIF:2498257","Find_Sci_Names","0.97","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.97,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Aythya affinis","Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.697859425,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",0.697859425,2,365,365,"AnAge","days","AgeAtMaturity",1,"Mean Air Temperature","IUCN","latitude"
"Branta canadensis","A10_P1","LAT","Ter","LE","Aves",-0.33,64.38468605,4.45,1.90446015715919,1.78448401506529,0.89387834072113,3.05458402633667,"110km",1.16324342796909,1.71994624445363,0.101593166589737,2.11281538009644,1.43889682778453,1.91251637498462,0.311760038137436,2.55747127532959,1.90446015715919,1.78448401506529,0.89387834072113,3.05458402633667,128.7693721,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Branta_canadensis","Branta_canadensis","Branta_canadensis","Animalia","Chordata","Aves","Anatidae","GBIF:5232437","Find_Sci_Names","-0.33","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.33,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Branta canadensis","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",128.7693721,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",8.9,9,730,730,"AnAge","days","AgeAtMaturity",2,"Mean Air Temperature","IUCN","latitude"
