"ID","binomial","species_studyid","range_source","Area_m2_overlap","Area_m2_range","Area_m2_ID"
"A1_P1","Aegithalos caudatus","Aegithalos caudatus_A1_P1","IUCN",463669386.729918,18424116524580.7,463669386.729918
"A1_P1","Aegithalos caudatus","Aegithalos caudatus_A1_P1","BOTW",463669386.729918,18425691873083.1,463669386.729918
"A1_P1","Aegithalos caudatus","Aegithalos caudatus_A1_P1","GBIF occurrence",463669386.729918,18696137718979.2,463669386.729918
"A1_P1","Certhia familiaris","Certhia familiaris_A1_P1","BOTW",463669386.729918,15914424480777,463669386.729918
"A1_P1","Certhia familiaris","Certhia familiaris_A1_P1","GBIF occurrence",463669386.729918,15780661678062.2,463669386.729918
"A1_P1","Dendrocopos major","Dendrocopos major_A1_P1","BOTW",463669386.729918,24413724286490.3,463669386.729918
"A1_P1","Dendrocopos major","Dendrocopos major_A1_P1","GBIF occurrence",463669386.729918,28032426107601.7,463669386.729918
"A1_P1","Dryocopus martius","Dryocopus martius_A1_P1","BOTW",463669386.729918,19634445894066.1,463669386.729918
"A1_P1","Dryocopus martius","Dryocopus martius_A1_P1","GBIF occurrence",463669386.729918,17346040127018.1,463669386.729918
"A1_P1","Erithacus rubecula","Erithacus rubecula_A1_P1","BOTW",463669386.729918,13266206035598.6,463669386.729918
"A1_P1","Erithacus rubecula","Erithacus rubecula_A1_P1","GBIF occurrence",463669386.729918,17122085882036.2,463669386.729918
"A1_P1","Fringilla coelebs","Fringilla coelebs_A1_P1","BOTW",463669386.729918,18764831136434.6,463669386.729918
"A1_P1","Fringilla coelebs","Fringilla coelebs_A1_P1","GBIF occurrence",463669386.729918,23778779871499.6,463669386.729918
"A1_P1","Garrulus glandarius","Garrulus glandarius_A1_P1","BOTW",463669386.729918,19458203901424.9,463669386.729918
"A1_P1","Garrulus glandarius","Garrulus glandarius_A1_P1","GBIF occurrence",463669386.729918,24757491837062.8,463669386.729918
"A1_P1","Nucifraga caryocatactes","Nucifraga caryocatactes_A1_P1","BOTW",463669386.729918,15486182217724.8,463669386.729918
"A1_P1","Nucifraga caryocatactes","Nucifraga caryocatactes_A1_P1","GBIF occurrence",463669386.729918,20919734699989.5,463669386.729918
