"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","Method"
"Abaciscus tristis",1,1,"Abaciscus tristis","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1986936","Abaciscus tristis","Abaciscus tristis","Find_Sci_Names"
"Abax parallelepipedus",1,1,"Abax parallelepipedus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5754772","Abax parallelepipedus","Abax parallelepipedus","Find_Sci_Names"
"Abax parallelus",1,1,"Abax parallelus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF","GBIF:5754817","Abax parallelus","Abax parallelus","Find_Sci_Names"
"Abies alba",1,1,"Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685484","Abies alba","Abies alba","Find_Sci_Names"
"Abies balsamea",1,1,"Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685383","Abies balsamea","Abies balsamea","Find_Sci_Names"
"Abies concolor",1,1,"Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685580","Abies concolor","Abies concolor","Find_Sci_Names"
"Abies grandis",1,1,"Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685361","Abies grandis","Abies grandis","Find_Sci_Names"
"Abies kawakamii",1,0,"Abies kawakamii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:8326713","Abies kawakamii","Abies kawakamii","Find_Sci_Names"
"Abies lasiocarpa",0,1,"Abies lasiocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685313","Abies lasiocarpa","Abies lasiocarpa","Find_Sci_Names"
"Abies magnifica",1,1,"Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685422","Abies magnifica","Abies magnifica","Find_Sci_Names"
