"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"10","Accipiter cooperii","Accipiter cooperii","Accipitriformes","20.33333333","amphibio","maximum_longevity_y","yrs","terrestrial","Accipiter cooperii","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii","Bird","terrestrial"
"16","Accipiter gentilis","Accipiter gentilis","Accipitriformes","22","amphibio","maximum_longevity_y","yrs","terrestrial","Accipiter gentilis","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Bird","terrestrial"
"27","Accipiter melanoleucus","Accipiter melanoleucus","Accipitriformes","10","amphibio","maximum_longevity_y","yrs","terrestrial","Accipiter melanoleucus","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter melanoleucus","Bird","terrestrial"
"30","Accipiter nisus","Accipiter nisus","Accipitriformes","20.25","amphibio","maximum_longevity_y","yrs","terrestrial","Accipiter nisus","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Bird","terrestrial"
"38","Accipiter striatus","Accipiter striatus","Accipitriformes","19.9","amphibio","maximum_longevity_y","yrs","terrestrial","Accipiter striatus","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Bird","terrestrial"
"52","Aquila chrysaetos","Aquila chrysaetos","Accipitriformes","48","amphibio","maximum_longevity_y","yrs","terrestrial","Aquila chrysaetos","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","Bird","terrestrial"
"55","Aquila heliaca","Aquila heliaca","Accipitriformes","56","amphibio","maximum_longevity_y","yrs","terrestrial","Aquila heliaca","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca","Bird","terrestrial"
"57","Aquila rapax","Aquila rapax","Accipitriformes","42.5","amphibio","maximum_longevity_y","yrs","terrestrial","Aquila rapax","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila rapax","Bird","terrestrial"
"65","Butastur indicus","Butastur indicus","Accipitriformes","8.5","amphibio","maximum_longevity_y","yrs","terrestrial","Butastur indicus","Chordata","Aves","Accipitriformes","Accipitridae","Butastur","Butastur indicus","Bird","terrestrial"
"78","Buteo buteo","Buteo buteo","Accipitriformes","28.8","amphibio","maximum_longevity_y","yrs","terrestrial","Buteo buteo","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo buteo","Bird","terrestrial"
