Common name,Scientific name,Geometric mean natal dispersal distance (km),n
Canada Goose,Branta canadensis,17.3,940
Purple Martin,Progne subis,7.63,690
Turkey Vulture,Cathartes aura,70.59,435
Peregrine Falcon,Falco peregrinus,65.67,424
Roseate Tern,Sterna dougallii,9.29,377
Osprey,Pandion haliaetus,37.54,154
Caspian Tern,Hydroprogne caspia,90.05,130
Brown Pelican,Pelecanus occidentalis,149.54,128
Royal Tern,Thalasseus maximus,80.45,124
Double-crested Cormorant,Phalacrocorax auritus,14.8,120
Bald Eagle,Haliaeetus leucocephalus,72.14,109
Trumpeter Swan,Cygnus buccinator,22.64,106
American White Pelican,Pelecanus erythrorhynchos,160.21,92
Tree Swallow,Tachycineta bicolor,22.06,84
American Kestrel,Falco sparverius,25.45,77
Barn Owl,Tyto alba,14.07,75
Mourning Dove,Zenaida macroura,6.97,73
Mallard,Anas platyrhynchos,64.38,46
Least Tern,Sternula antillarum,34.6,43
Eastern Bluebird,Sialia sialis,15.04,36
Wood Stork,Mycteria americana,136.08,25
American Oystercatcher,Haematopus palliatus,19.79,25
Mountain Bluebird,Sialia currucoides,22.44,22
Piping Plover,Charadrius melodus,136,21
Red-tailed Hawk,Buteo jamaicensis,34.22,20
Black Skimmer,Rynchops niger,10.17,18
Snail Kite,Rostrhamus sociabilis,45.54,18
Western Gull,Larus occidentalis,54.53,17
Brandt's Cormorant,Phalacrocorax penicillatus,285.52,15
Cooper's Hawk,Accipiter cooperii,17.81,15
Golden Eagle,Aquila chrysaetos,76.3,14
Burrowing Owl,Athene cunicularia,7.36,14
Great Egret,Ardea alba,117.36,13
Great Black-backed Gull,Larus marinus,63.44,12
Ring-billed Gull,Larus delawarensis,44.5,12
Red-cockaded Woodpecker,Dryobates borealis,14.21,12
California Gull,Larus californicus,19.64,10
Sandhill Crane,Antigone canadensis,22.43,10
Gull-billed Tern,Gelochelidon nilotica,8.37,8
Ferruginous Hawk,Buteo regalis,102.94,8
Western Bluebird,Sialia mexicana,4.21,8
Elegant Tern,Thalasseus elegans,37.7,7
Brant,Branta bernicla,31.34,7
Reddish Egret,Egretta rufescens,20.35,7
Northern Goshawk,Accipiter gentilis,22.03,7
Red-shouldered Hawk,Buteo lineatus,20.62,5
Barred Owl,Strix varia,6.35,5
Wood Duck,Aix sponsa,4.38,4
Spectacled Eider,Somateria fischeri,9.23,4
Snowy Plover,Charadrius nivosus,37.1,4
Ash-throated Flycatcher,Myiarchus cinerascens,9.32,4
Common Loon,Gavia immer,10.43,3
Glossy Ibis,Plegadis falcinellus,203.36,3
Black-crowned Night-Heron,Nycticorax nycticorax,6.29,3
American Woodcock,Scolopax minor,260.21,3
Snowy Owl,Bubo scandiacus,3.55,3
Barn Swallow,Hirundo rustica,16.96,3
Razorbill,Alca torda,477.46,2
Arctic Tern,Sterna paradisaea,44.51,2
Snow Goose,Anser caerulescens,511.42,2
Snowy Egret,Egretta thula,42.63,2
Swainson's Hawk,Buteo swainsoni,14.74,2
Prairie Falcon,Falco mexicanus,114.56,2
Merlin,Falco columbarius,10.37,2
Great Horned Owl,Bubo virginianus,10.25,2
Common Raven,Corvus corax,3.37,2
European Starling,Sturnus vulgaris,17.14,2
House Sparrow,Passer domesticus,2.78,2
Pigeon Guillemot,Cepphus columba,41.47,1
Common Murre,Uria aalge,19.11,1
Thick-billed Murre,Uria lomvia,1500.85,1
Black-legged Kittiwake,Rissa tridactyla,25.24,1
Laughing Gull,Leucophaeus atricilla,14.04,1
Forster's Tern,Sterna forsteri,552.67,1
Black Tern,Chlidonias niger,68.51,1
Fork-tailed Storm-Petrel,Oceanodroma furcata,5.64,1
Red-tailed Tropicbird,Phaethon rubricauda,1499.73,1
Brown Booby,Sula leucogaster,108.52,1
Northern Gannet,Morus bassanus,2715.28,1
Common Merganser,Mergus merganser,0.67,1
Mottled Duck,Anas fulvigula,57.86,1
Northern Pintail,Anas acuta,2.54,1
Lesser Scaup,Aythya affinis,0.7,1
Common Goldeneye,Bucephala clangula,1.17,1
King Eider,Somateria spectabilis,1.32,1
White-winged Scoter,Melanitta deglandi,10.81,1
Emperor Goose,Anser canagicus,810.11,1
White-faced Ibis,Plegadis chihi,789.34,1
American Avocet,Recurvirostra americana,353.97,1
Hudsonian Godwit,Limosa haemastica,21.42,1
Whimbrel,Numenius phaeopus,6.91,1
Wilson's Plover,Charadrius wilsonia,2.4,1
Black Oystercatcher,Haematopus bachmani,22.6,1
American Crow,Corvus brachyrhynchos,51.76,1
Black-capped Vireo,Vireo atricapilla,4.54,1
Cactus Wren,Campylorhynchus brunneicapillus,0.46,1
House Wren,Troglodytes aedon,147.43,1
Brown-headed Nuthatch,Sitta pusilla,3.53,1
Black-capped Chickadee,Poecile atricapillus,3,1
