name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Abies alba Mill.	Pinaceae	-	6	0.5	0.5	0	0	0	0	0	gymnosperme type	seed	covered partly	0	1	0	0	1	0	0	0	0	seed|1c.3|	79.2	0.91	22.29	14.62	3.3	0.12	flat	1.06	0.85	NA	0	1
Acer campestre L.	Sapindaceae	-	13	0.62	0.31	0	0	0.08	0	0	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	87.48	0.91	29	NA	NA	NA	NA	1.21	0.82	0	0	1
Acer monspessulanum L.	Sapindaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	NA	NA	25	8	1	0.16	elongated & flat	NA	NA	NA	NA	1
Acer negundo L.	Sapindaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	37.5	NA	30	10	1	0.16	elongated & flat	0.88	0.89	NA	NA	1
Acer opalus agg.	Sapindaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	NA	0.9	31.34	9.72	1	0.17	elongated & flat	NA	NA	NA	NA	1
Acer platanoides L.	Sapindaceae	-	9	0.78	0.11	0	0	0.11	0	0	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	148.05	NA	50	20	1	0.16	flat	1.01	0.86	NA	NA	1
Acer pseudoplatanus L.	Sapindaceae	-	16	0.5	0.19	0	0	0.06	0	0.25	non-fleshy fruit	fruit segment	exposed	0	1	0	0	1	0	0	0	0	segm|1c.3|	139.274	NA	45	15	NA	0.16	flat	1.05	0.86	0.47	NA	1
Aceras anthropophorum (L.) W. T. Aiton	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	0.19	0.17	NA	NA	NA	NA	NA	NA	NA	1
Achillea atrata agg.	Asteraceae	other diaspore-types: fruit|3|	1	0	0	0	0	0	0	1	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	0.46	0.9	2.82	1.02	0.5	0.12	elongated & flat	1.34	0.79	NA	0.62	1
Achillea cartilaginea Ledeb.	Asteraceae	other diaspore-types: fruit|3|	1	0	0	1	0	0	0	0	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.89	1.85	0.75	0.5	0.1	spherical	NA	0.72	0.68	0.66	1
Achillea clavenae L.	Asteraceae	other diaspore-types: fruit|3|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	NA	1.8	0.7	0.5	0.1	spherical	2.75	0.47	NA	NA	1
Achillea clusiana Tausch	Asteraceae	other diaspore-types: fruit|3|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	0.46	0.81	3.77	1.2	NA	NA	NA	1.76	0.69	NA	0.67	1
Achillea collina Becker ex Rchb.	Asteraceae	other diaspore-types: fruit|3|	3	0	0	0.33	0.67	0	0	0	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	0.1408	0.99	1.64	0.6	NA	NA	NA	1.62	0.73	NA	0.61	1
Achillea macrophylla L.	Asteraceae	other diaspore-types: fruit|3|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.97	2.59	0.8	0.5	0.13	elongated	2.63	0.49	NA	NA	1
