Species range	Species	dispersal mechanism	Mean.dispersal.distance(m)	Maximum.dispersal.distance(m)	Growth.form	biomes	N-fixers	family	order	clade	Reference	Secondary Reference
introduced	Acer negundo	hydrochory	541.0342084	1200	woody	temperateforest	No	Sapindaceae	Sapindales	EUROSIDS II	"Säumel I, Kowarik I. Urban rivers as dispersal corridors for primarily wind-dispersed invasive tree species. Landscape and Urban Planning. 2010;94:244-249"	NA
introduced	Acer platanoides	anemochory	5.5	50	woody	temperateforest	No	Sapindaceae	Sapindales	EUROSIDS II	"Martin PH, Canham CD. Dispersal and recruitment limitation in native versus exotic tree species: life-history strategies and Janzen-Connell effects. Oikos. 2010;119(5):807-824"	NA
introduced	Aegilops triuncialis	anemochory	0.4	2.16	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	Thomson DM. Do source-sink dynamics promote the spread of an invasive grass into a novel habitat? Ecology. 2007;88(12):3126-3134	NA
introduced	Ailanthus altissima	anemochory	30.73	100	woody	temperateforest	No	Simaroubaceae	Sapindales	EUROSIDS II	"Landenberger RE, Kota NL, McGraw JB. Seed dispersal of the non-native invasive tree Ailanthus altissima into contrasting environments. Plant Ecology. 2006;192(1):55-70"	NA
introduced	Ailanthus altissima	anemochory	13.5	50	woody	temperateforest	No	Simaroubaceae	Sapindales	EUROSIDS II	"Martin PH, Canham CD. Dispersal and recruitment limitation in native versus exotic tree species: life-history strategies and Janzen-Connell effects. Oikos. 2010;119(5):807-824"	NA
introduced	Ailanthus altissima	anemochory	NA	10	woody	temperateforest	No	Simaroubaceae	Sapindales	EUROSIDS II	"Kaproth MA, Mcgraw JB. Seed Viability and Dispersal of the Wind-Dispersed Invasive Ailanthus altissima in Aqueous Environments. Forest Science. 2008;54(5):490-497"	NA
introduced	Ailanthus altissima	hydrochory	4050	8100	woody	temperateforest	No	Simaroubaceae	Sapindales	EUROSIDS II	"Kaproth MA, Mcgraw JB. Seed Viability and Dispersal of the Wind-Dispersed Invasive Ailanthus altissima in Aqueous Environments. Forest Science. 2008;54(5):490-496"	NA
introduced	Ailanthus altissima	hydrochory	543.8857023	1200	woody	temperateforest	No	Simaroubaceae	Sapindales	EUROSIDS II	"Säumel I, Kowarik I. Urban rivers as dispersal corridors for primarily wind-dispersed invasive tree species. Landscape and Urban Planning. 2010;94:244-249"	NA
introduced	Annona glabra	endozoochory	605	5212	woody	tropicalforest	No	Annonaceae	Magnoliales	MAGNOLIIDS	"Westcott DA, Setter M, Bradford MG, McKeown A, Setter S. Cassowary dispersal of the invasive pond apple in a tropical rainforest: the contribution of subordinate dispersal modes in invasion. Diversity and Distributions. 2008;14(2):432-439"	NA
introduced	Avena fatua	harvest	27.1245	255	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	"Shirtliffe SJ, Entz MH. Chaff collection reduces seed dispersal of wild oat (Avena fatua) by a combine harvester. Weed Science. 2005;53(4):465-470"	NA
