A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Plant,Abies concolor,2.98E-02,23.495,-1.526,1.370969539
P,Plant,Abutilon theophrasti,9.58E-03,1.04,-2.018,0.017033339
P,Plant,Acacia cyclops,2.38E-02,2,-1.623,0.301029996
P,Plant,Acacia holosericea,1.15E-02,103.8,-1.939,2.016197354
P,Plant,Acacia ligulata,3.70E-02,180,-1.432,2.255272505
P,Plant,Acacia suaveolens,1.10E-02,10.75,-1.959,1.031408464
P,Plant,Acacia suaveolens,3.58E-02,109,-1.446,2.037426498
P,Plant,Acacia terminalis,2.38E-02,1.9,-1.623,0.278753601
A,Birds,Accipiter cooperii,3.49E+02,3.52E+04,2.543,4.546542663
A,Birds,Accipiter gentilis,1.14E+03,1.15E+06,3.056,6.06069784
A,Birds,Accipiter nisus,2.80E+02,1.66E+05,2.447,5.220108088
P,Plant,Acer cappadocicum,5.00E-02,48.2,-1.301,1.683047038
P,Plant,Acer griseum,1.95E-01,29.2,-0.71,1.465382851
P,Plant,Acer negundo,3.84E-02,151,-1.416,2.178976947
P,Plant,Acer nigrum,1.08E-01,151,-0.967,2.178976947
P,Plant,Acer palmatum,1.60E-02,11.6,-1.796,1.064457989
P,Plant,Acer platanoides,1.72E-01,50.3,-0.765,1.701567985
P,Plant,Acer pseudoplatanus,3.06E-02,60.1,-1.514,1.778874472
P,Plant,Acer rubrum,1.99E-02,475,-1.701,2.67669361
P,Plant,Acer saccharinum,3.24E-01,100,-0.489,2
P,Plant,Acer saccharum,7.40E-02,151,-1.131,2.178976947
P,Plant,Achillea moschata,3.33E-04,1,-3.478,0
P,Plant,Achillea nana,3.33E-04,4,-3.478,0.602059991
A,Birds,Acrocephalus schoenobaenus,1.12E+01,1.56E+05,1.049,5.193124598
A,Birds,Acrocephalus scirpaceus,1.20E+01,2.71E+05,1.079,5.432969291
A,Reptile,Acrochordus arafurae,1.03E+03,1.66E+02,3.015,2.220108088
P,Protista,Actinophrys,4.00E-09,4.00E+02,-8.398,2.602059991
A,Birds,Actitis macularius,4.77E+02,1.47E+05,2.679,5.166430114
A,Insect,Aedes sollicitans,2.25E-03,1.77E+05,-2.648,5.247973266
A,Insect,Aedes taenerhencys,2.25E-03,3.20E+04,-2.648,4.505149978
A,Insect,Aedes vexans,2.25E-03,7.40E+05,-2.648,5.86923172
A,Insect,Aedes vigilax,2.25E-03,9.70E+04,-2.648,4.986771734
A,Birds,Aegithalos caudatus,8.20E+00,2.49E+04,0.914,4.396199347
A,Birds,Aegolius funereus,1.67E+02,3.00E+05,2.223,5.477121255
A,Reptile,Agkistrodon contortrix,2.62E+03,6.60E+02,3.418,2.819543936
A,Insect,Aglais urticae,2.00E-01,1.50E+05,-0.699,5.176091259
P,Plant,Agrostis hyemalis,6.90E-05,11,-4.161,1.041392685
P,Plant,Agrostis rupestris,6.90E-05,1,-4.161,0
P,Plant,Agrostis stolonifera,2.00E-05,61,-4.699,1.785329835
P,Plant,Ailanthus altissima,3.33E-02,111.6,-1.478,2.047664195
A,Birds,Aix sponsa,6.85E+02,3.80E+03,2.836,3.579783597
A,Birds,Alauda arvensis,4.27E+01,5.17E+04,1.63,4.713490543
P,Plant,Albizia julibrissum,4.35E-02,16.2,-1.362,1.209515015
A,Birds,Alcedo atthis,3.58E+01,1.01E+05,1.554,5.003029471
A,Mammals,Alces alces,4.82E+05,1.18E+05,5.683,5.071882007
A,Annelid,Aporrectodea caliginosa,6.70E-02,1.30E+01,-1.174,1.113943352
A,Annelid,Allolobophora longa,6.70E-02,1.30E+01,-1.174,1.113943352
P,Plant,Alnus crispa,3.54E-04,6.65,-3.451,0.822821645
P,Plant,Alnus viridis,3.54E-04,70,-3.451,1.84509804
A,Fish,Alopias superciliosus,1.11E+05,2.77E+06,5.044,6.442009159
A,Fish,Alopias vulpinus,1.16E+05,1.56E+06,5.063,6.192009593
P,Plant,Alseis blackiana,1.20E-04,377,-3.921,2.57634135
A,Amphib,Ambystoma californiense,2.66E+01,6.70E+02,1.425,2.826074803
A,Amphib,Ambystoma jeffersonianum,1.76E+01,1.61E+03,1.245,3.206825876
A,Amphib,Ambystoma laterale ,3.05E+00,4.05E+02,0.484,2.607455023
A,Amphib,Ambystoma macrodactylum,8.46E+00,1.17E+03,0.927,3.068185862
A,Amphib,Ambystoma maculatum,3.54E+01,7.56E+02,1.549,2.878521796
A,Amphib,Ambystoma opacum,3.76E+00,1.00E+03,0.575,3
A,Amphib,Ambystoma talpoideum,2.94E+00,1.00E+03,0.469,3
A,Amphib,Ambystoma texanum,1.13E+01,1.25E+02,1.051,2.096910013
A,Amphib,Ambystoma tigrinum,1.13E+02,6.00E+02,2.052,2.77815125
A,Amphib,Amphiuma tridactylum,4.52E+03,2.97E+02,3.655,2.472756449
P,Monera,Anabaena,1.00E-09,3.20E+01,-9,1.505149978
A,Birds,Anas platyrhynchos,1.08E+03,6.31E+04,3.034,4.800029359
P,Plant,Andropogon gerardi,3.15E-03,0.19,-2.502,-0.721246399
P,Plant,Andropogon glomeratus,2.21E-03,13.8,-2.656,1.139879086
P,Plant,Andropogon gyrans,1.93E-03,10.3,-2.715,1.012837225
P,Plant,Andropogon longiberbis,1.93E-03,7.35,-2.715,0.866287339
P,Plant,Schizachyrium scoparium,8.98E-04,0.11,-3.047,-0.958607315
P,Plant,Andropogon virginicus,5.67E-04,8.6,-3.246,0.934498451
A,Amphib,Aneides aeneus,4.01E+00,1.06E+02,0.604,2.025305865
A,Amphib,Aneides vagrans,3.27E+00,2.03E+01,0.515,1.307496038
P,Protista,Ankistrodesmus,1.00E-09,6.40E+01,-9,1.806179974
A,Insect,Anoplophora glabripennis,1.00E+00,2.60E+03,0,3.414973348
A,Reptile,Apalone mutica,8.19E+02,9.00E+01,2.913,1.954242509
P,Plant,Apera spica-venti,1.20E-04,140,-3.921,2.146128036
A,Birds,Aphelocoma coerulescens,8.00E+01,1.80E+03,1.903,3.255272505
A,Insect,Aphis craccivora,1.50E-01,4.83E+05,-0.824,5.683947131
P,Plant,Apocynum cannabinum,9.07E-04,83.3,-3.042,1.920645001
A,Mammals,Apodemus sylvaticus,2.00E+01,5.00E+02,1.301,2.698970004
A,Reptile,Apalone spinifera,2.05E+03,3.00E+00,3.312,0.477121255
A,Birds,Apus apus,3.76E+01,1.11E+05,1.575,5.045322979
A,Birds,Aquila adalberti,3.00E+03,4.30E+05,3.477,5.633468456
P,Plant,Arabis alpina,2.40E-04,1,-3.62,0
A,Birds,Ardea cinerea,1.44E+03,2.38E+05,3.159,5.37621185
P,Plant,Aristida congesta,4.83E-04,2.31,-3.316,0.36361198
P,Plant,Artimesia frigida,9.99E-05,25,-4,1.397940009
