Species,Body mass (kg),Obs type,Natal dispersal median distance (km),Natal dispersal maximum distance (km),1,2,3,n,Source
Phalacrocorax pelagicus,2.03 m,S,...,150.0 m/f,C,G,M,...,Hobson (1997)
,1.7 f,,,,,,,,
Cygnus olor,11.80 m,S,...,64.0 m/f,H,T,R,...,Ciaranca et al. (1997)
,9.67 f,,,,,,,,
Cygnus buccinator,11.40 m,S,...,128.0 m/f,O,T,M,...,Mitchell (1994)
,10.30 f,,,,,,,,
Branta canadensis,3.814 m,D,2.0 m,28.4 m,H,T,R,19 m,Lessells (1985)
,3.314 f,,1.5 f,11.2 f,,,,20 f,
Aix sponsa,0.681 m,S,...,3.8 m/f,O,N,M,...,Hepp and Bellrose (1995)
,0.685 f,,,,,,,,
Bucephala clangula,1.00 m,D,0.75 f,6.0 f,O,N,M,138 f,Dow and Fredga (1983)
,0.80 f,,,,,,,,
Bucephala albeola,0.334 f,S,...,4.5 f,C,T,M,...,Gauthier (1993)
Lophodytes cucullatus,0.68 m,S,...,5.6 m/f,C,T,M,10 f,Dugger et al. (1994)
,0.54 f,,,,,,,,
Eudocimus albus,1.04 m,S,...,100.0 m/f,C,G,M,...,Kushlan and Bildstein (1992)
,0.76 f,,,,,,,,
Elanus leucurus,0.325 m/f,S,...,160.0 m/f,C,N,R,...,Dunk (1995)
Accipiter gentilis,0.912 m,D,32 m,1150 m/f,C,T,M,87 m,"Marcström and Kenward (1981), Mueller and Berger (1967)"
,1.137 f,,17 f,,,,,66 f,
Accipiter cooperi,0.349 m,D,9.2 m,35.2 m,C,T,M,6 m,Rosenfield and Bielefeldt (1992)
,0.529 f,,14.4 f,,,,,,
Accipiter nisus,0.150 m,D,9.0 m,108.0 m,C,T,R,99 m,Newton and Marquiss (1983)
,0.280 f,,18.5 f,166.0 f,,,,65 f,
Parabuteo unicinctus,0.69 m,S,...,160.0 m/f,C,N,R,...,Bednarz (1995)
,0.99 f,,,,,,,,
Buteo lineatus,0.475 m,S,...,24.0 m/f,C,T,M,4 m/f,Crocoll (1994)
,0.643 f,,,,,,,,
Buteo swainsoni,1.069 f,S,...,320.0 f,C,T,M,46 m/f,Preston and Beane (1993)
Aquila adalberti,3.0 m/f,D,100.0 m/f,430.0 m/f,C,T,R,24 m/f,Ferrer (1993)
Falco peregrinus,0.611 m,D,58.0 m,357.0 m,C,T,R,11 m,"Mearns and Newton (1982), James et al. (1989)"
,0.952 f,,83.0 f,324.0 f,,,,,
Falco sparverius,0.111 m,D,4.8 m,32.45 m,C,T,M,21 f,Miller and Smallwood (1997)
,0.120 f,,5.06 f,38.79 f,,,,,
Bonasa bonasia,...,S,...,5.7 m,H,N,R,9 m/f,Fang and Sun (1997)
,,,,4.8 f,,,,,
