Species,Body mass (kg),Obs type,Natal dispersal median distance (km),Natal dispersal maximum distance (km),1,2,n,Source
Didelphis virginianus,2.839 m,S,...,4.3 m,O,T,8,VanDruff (1969)
,1.99 f,,,5.152 f,,,,
Phascogale tapotafa,0.199 m,S,...,6.8 m,C,T,...,Soderquist and Lill (1995)
,0.145 f,,,,,,,
Trichosurus vulpecula,2.93 m/f,D,5.4 m,12.8 m,C,T,13 m,Cowan et al. (1996)
Sorex araneus,0.004 m/f,S,...,0.869 m/f,C,N,29 m,"Hanski et al. (1991), Peltonen and Hanski (1991)"
,,,,,,,21 f,
Scapanus townsendii,0.148 m/f,S,...,0.722 m,O,G,44 m/f,Carraway et al. (1993)
,,,,0.856 f,,,,
Ursus americanus,130.0 m,S,...,225.0 m,O,T,19 m,Rogers (1987)
,78.9 f,,,28.8 f,,,15 f,
Ursus arctos,331.0 m/f,S,...,134.0 m,O,T,35 m,Glenn and Miller (1980)
,,,,82.0 f,,,26 f,
Ursus arctos,331.0 m/f,D,5.5 m,...,O,T,222 m,Pearson (1972)
,,,9.5 f,,,,343 f,
Procyon lotor,8.1 m,S,...,265.5 m/f,O,T,34 m/f,"Priewert (1951), Lynch (1967)"
,7.5 f,,,,,,,
Martes americana,1.04 m/f,S,...,61.0 m/f,C,T,15 m/f,Lofroth (1993)
Martes pennanti,3.70 m,S,...,23.0 m,C,T,35 m/f,Arthur et al. (1993)
,2.10 f,,,22.6 f,,,,
Mustela erminea,0.080 m,S,...,5.6 m,C,T,36 m,Erlinge (1977)
,0.054 f,,,1.0 f,,,29 f,
Mustela vison,1.225 m,S,...,45.1 m,C,T,6 m,Mitchell (1961)
,1.112 f,,,45.0 f,,,2 f,
Lutra canadensis,9.07 m,S,...,42.0 m,C,T,39 m/f,Melquist and Hornocker (1983)
Gulo gulo,14.4 m/f,S,...,300 m/f,C,T,...,Pasitschniak-Arts and Lariviere (1995)
Taxidea taxus,7.80 m,S,...,110.0 m,C,T,1 m,Lindzey (1978)
,6.15 f,,,52.0 f,,,1f,
Meles meles,11.6 m,S,...,8.3 m,O,G,...,Cheesman et al. (1988)
,10.1 f,,,7.8 f,,,,
Mephitis mephitis,3.176 m,S,...,10.1 m,O,T,1 m,Bjorge et al. (1981)
,2.642 f,,,21.7 f,,,4 f,
