"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Abies alba";4691.25043478261;1652.64341401816;5000;1562.5;6762.5;46
"Abies balsamea";420.62976;709.655160615842;160;44.5;2700;250
"Abies concolor";4590.65882352941;1339.73917998032;5000;1756.68;6000;34
"Abies grandis";2775.08672566372;2871.34082537292;1294;112.776;10000;113
"Abies lasiocarpa";416.95;794.289834520802;202;32;3048;431
"Abies magnifica";4345.72631578947;1860.32017341165;5000;899.16;6000;19
"Abies nordmanniana";4675;1553.4012860673;5000;1500;7000;28
"Abies pinsapo";2733.33333333333;1015.35825251602;2500;1675;4950;15
"Abronia latifolia";150;NA;150;150;150;1
"Abutilon theophrasti";138;38.9871773792359;120;102;195;5
"Acacia baileyana";750;353.553390593274;750;512.5;987.5;2
"Acacia dealbata";1167.46153846154;884.83708018004;825;343.75;3131;26
"Acacia koa";3750.2;646.934226435218;3826.4;3070.86;4300;4
"Acacia longifolia";563.84;168.557551002618;609.6;400;780.96;5
"Acacia melanoxylon";2552.6;1049.01390839207;3067;1203.84;3813.4;9
"Acalypha californica";40;NA;40;40;40;1
"Acer campestre";1408.3375;615.251290510376;1500;199.925;2500;80
"Acer circinatum";831.693333333333;296.476333850332;800;496.47;1412.802;12
"Acer glabrum";1149.10171428571;797.227750016879;1000;350;3800;35
"Acer macrophyllum";2182.23368421053;1046.74551518404;2100;290.05;3410;19
"Acer monspessulanum";895.458064516129;434.215857820504;1000;196.75;1800;31
"Acer negundo";1179.1040106875;698.091739690687;900;400;2300;64
"Acer opalus";1111;537.241523474735;1000;117.6;2000;23
"Acer pensylvanicum";227.372275;149.189455941194;214.6;87.2;526.874999999998;800
"Acer platanoides";2378.03448275862;809.063091797776;2500;863.15;3500;58
"Acer pseudoplatanus";1761.1219047619;1387.05654132861;1800;116.6;4000;105
"Acer rubrum";536.726423357664;972.553574551299;6.7;2.3;3500;274
"Acer saccharinum";2039.91523809524;1628.39514845399;2550;9;4000;42
"Acer saccharum";270.322903645833;474.858815590082;228.5;5.5;1860.25;1536
"Acer spicatum";328.981351351351;289.43194505308;262.5;93.375;942.219999999999;148
"Achillea atrata";13.1428571428571;6.68776423599027;11.5;5.45;23.875;7
"Achillea clavennae";15.2857142857143;8.58223525107311;15;5.45;28.875;7
"Achillea erba-rotta";14;5.16397779494322;15;6.125;20;10
"Achillea millefolium";22.5434951277808;19.059341299063;15.5;1.9925;68.0675;518
"Achillea ptarmica";67.6764705882353;35.216713528731;65;17;132;17
"Acmispon glaber";105.2;25.2824049488968;92;92;145;5
"Aconitum columbianum";152.4;NA;152.4;152.4;152.4;1
"Aconitum lycoctonum";68.8548387096774;24.9673765636904;65;38.75;128.75;31
"Aconitum napellus";93.9827586206897;35.2851857721533;100;48.5;165;29
"Actaea rubra";33.1333333333333;23.4028895244848;25;9.4;86.7;15
"Actaea spicata";39.9814814814815;19.1474448393159;30;20;80;27
"Adenocaulon bicolor";40;NA;40;40;40;1
"Adenophyllum porophylloides";35;NA;35;35;35;1
"Adenostoma fasciculatum";290.31;65.8049125391541;282.4;196.376;391.25;8
"Adenostoma sparsifolium";540;0;540;540;540;2
"Adenostyles alliariae";73.953125;26.5087810694932;71.5;40;125.75;32
"Adenostyles leucophylla";32.7931034482759;7.55162853933237;33.5;17.6;43.15;29
"Adiantum capillus-veneris";29.727;15.3592300030214;30;6.7;49.7482;8
"Adiantum pedatum";33.906;4.0658755514649;33;30.225;39.1272;4
"Adoxa moschatellina";7.5;3.15348132140408;5;5;13.65;19
"Aegilops triuncialis";40;14.142135623731;40;30.5;49.5;2
"Aesculus californica";1015.31428571429;283.640120743237;914.4;700;1406.88;7
"Aethusa cynapium";58.59375;48.5795631756126;61.25;5;120;16
"Agastache parvifolia";60.96;NA;60.96;60.96;60.96;1
"Agastache urticifolia";152.4;0;152.4;152.4;152.4;2
"Agave deserti";100;0;100;100;100;3
"Agave utahensis";30.48;0;30.48;30.48;30.48;2
"Ageratina adenophora";80;NA;80;80;80;1
"Ageratina altissima";51.5;23.5788366647199;49.5;15.85;87.4;14
"Agoseris aurantiaca";20.98;13.4350288425444;20.98;11.955;30.005;2
"Agoseris grandiflora";54.864;NA;54.864;54.864;54.864;1
"Agrimonia eupatoria";54.0793103448276;29.7495543701359;60;17;122;29
"Agrimonia gryposepala";179.832;2.8421709430404e-14;179.832;179.832;179.832;2
"Agrimonia procera";113;54.0370243444252;100;45.5;177;5
"Agropyron cristatum";38.2055172413793;12.6593510288998;39;20.84;63.672;29
"Agrostis alpina";12.5;10.4450945424156;8.5;3.25;28.75;6
"Agrostis capillaris";34.744117508965;18.8546633336228;35;5.95;75;98
"Agrostis curtisii";51.25;20.3100960115899;60;20;70;8
"Agrostis exarata";91.44;NA;91.44;91.44;91.44;1
"Agrostis gigantea";78.2026086956522;37.2276824196715;70;14.51;139;23
"Agrostis idahoensis";42.672;NA;42.672;42.672;42.672;1
"Agrostis mertensii";10.0866666666667;7.52275497568826;5.505;2.1;20;12
"Agrostis pallens";60.96;NA;60.96;60.96;60.96;1
"Agrostis rupestris";8;6.9065186599328;5;2.1875;19.0625;6
"Agrostis scabra";1333.84583333333;855.197134414234;1560;50.1025;2247.5;8
"Agrostis stolonifera";51.0075555555556;35.8957187340544;40;8.7;135;45
"Aira caryophyllea";13.0167682926829;12.2463245792858;8;5;50;41
"Aira elegans";21.6666666666667;9.83192080250175;25;10;30;6
"Aira praecox";12.6842105263158;15.4714885859224;10;2;49.75;19
"Ajuga pyramidalis";16.3636363636364;8.58734092967225;15;5;30;22
"Ajuga reptans";9.57023529411765;7.45147069698653;7;2;30;102
"Alchemilla alpina";11.1952941176471;5.39922173701163;10;5;21.75;34
"Alchemilla filicaulis";17.5;14.5236875482778;5;5;40;17
"Alchemilla pentaphyllea";8;5.29150262212918;7;3.15;14.55;4
"Alchemilla vulgaris";5;NA;5;5;5;1
"Alhagi maurorum";60;NA;60;60;60;1
"Alisma lanceolatum";58.0555555555556;39.1267527118949;40;16;116;9
"Alisma plantago-aquatica";67.596;42.9528274140032;65;16.75;145.5;15
"Allardia tridactylites";3;NA;3;3;3;1
"Alliaria petiolata";52.5847826086957;36.0599483019804;45;14.1;120;23
"Allium acuminatum";30.48;NA;30.48;30.48;30.48;1
"Allium oleraceum";50.09375;26.0039860726518;48;16.875;92.5;16
"Allium schoenoprasum";33.8125;11.6788626729375;33.25;15;50;16
"Allium scorodoprasum";42.7380952380952;20.0609553110192;37.5;20.1;99.5;42
"Allium ursinum";29.2666666666667;12.2545424036889;27.5;11.75;48.25;15
"Allium validum";60.96;NA;60.96;60.96;60.96;1
"Allium victorialis";33.758064516129;9.69696771138787;32;19.5;58.5;31
"Allium vineale";52.3333333333333;26.3131326979695;50;16.75;93;15
"Alnus alnobetula";338.716744186047;268.514492225573;300;5.125;1005.11;86
"Alnus glutinosa";2211.97183098592;1014.5699583262;2325;281;3500;71
"Alnus incana";1357.00298507463;821.181543706559;1000;232.5;3000;67
"Alnus rhombifolia";2374.512;833.603016610939;2286;1110;3500;15
"Alnus rubra";3134.6;740.624197376193;3000;1797.7;4008.5;24
"Alopecurus aequalis";32.5777777777778;21.9078626169794;40;8.4;69.96;9
"Alopecurus bulbosus";37.15;19.9193512835021;32;12.25;73.25;10
"Alopecurus geniculatus";32.0875757575;15.6643713575891;31.25;11.375;57.946;12
"Alopecurus pratensis";25.9130509412791;25.1388778558663;16.75;3;100;172
"Aloysia wrightii";225;NA;225;225;225;1
"Althaea officinalis";83.4523809523809;34.6554125505327;80;31.5;150;21
"Amaranthus albus";39;20.2484567313166;40;10;67.75;10
"Amaranthus blitoides";57.9166666666667;35.0862033663756;50;17.1875;100;6
"Amaranthus blitum";48.0555555555556;23.3779335651759;42.5;20;80;9
"Amaranthus californicus";30.48;NA;30.48;30.48;30.48;1
"Amaranthus deflexus";42;22.5092573548455;40;12.25;83.25;10
"Amaranthus palmeri";100;NA;100;100;100;1
"Amaranthus powellii";65.2272727272727;36.1326470358619;60;12.5;100;11
"Amaranthus retroflexus";84.6851851851852;68.9276583076205;60;9.55;200;27
"Ambrosia artemisiifolia";52.7699618320611;24.6890956816052;50.3;22;123.75;131
"Ambrosia dumosa";47.9009523809524;23.5369041942142;40;10;90;21
"Ambrosia eriocentra";76.6666666666667;39.0512483795333;80;30;120;9
"Ambrosia monogyra";217.466666666667;154.546795847299;171.92;65.84;400;6
"Ambrosia psilostachya";26.4332329317269;13.2672806437527;23.1666666666667;12.7291666666667;66.75;166
"Ambrosia salsola";126.071428571429;72.6206839424123;90;58.125;250;14
"Amelanchier alnifolia";428.4;250.545063992307;457.2;100;800;12
"Amelanchier ovalis";208.172413793103;82.2522552732565;200;100;300;29
