Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Adriana quadripartita,,Adriana,Euphorbiaceae,Malpighiales,ballistic,shrub,35,,,2,,,0.27,,0.08,2,,2,field,tropics,Beaumont et al. 2009
Cornus controversa,,Cornus,Cornaceae,Cornales,wind (none),tree,44,,,35,,,,5,,35,,35,field,temperate,Masaki et al. 1994
Calathea ovandensis,,Calathea,Marantaceae,Zingiberales,wind (none),herb,,,,2.75,,,,0.25,,2.75,,2.75,field,tropics,Horvitz & Schemske 1994
Daucus carota,,Daucus,Apiaceae,Apiales,wind (none),herb,1,1,2.21,,0.93,,,,0.15,0.93,,0.93,model,temperate,Soons & Ozinga 2005
Seseli libanotis,,Seseli,Apiaceae,Apiales,wind (none),herb,2.01,1.2,2.9,2,,,,,0.76,2,,2,model,temperate,Jongejans & Telenius 2001
Mercurialis annua,,Mercurialis,Euphorbiaceae,Malpighiales,ballistic,herb,1.7,0.5,3.19,2.9,,,,,,2.9,,2.9,field,temperate,MŸller-Schneider 1983 in Vittoz & Engler 2007
Picea abies,,Picea,Pinaceae,Pinales,animal,tree,7,50,,60,,,,,,60,,60,field,temperate,MŸller-Schneider 1983 in Vittoz & Engler 2007
Agrostis hyemalis,,Agrostis,Poaceae,Poales,wind (none),herb,61,,0.96,,,2,,,0.46,2,,2,field,temperate,Rabinowitz & Rapp 1979
Amphicarpaea bracteata,,Amphicarpaea,Fabaceae,Fabales,wind (none),herb,27.09,,,3.25,,,,0.75,0.95,3.25,,3.25,field,temperate,Trapp 1988
Cnidoscolus urens subsp. stimulosus,Cnidoscolus stimulosus,Cnidoscolus,Euphorbiaceae,Malpighiales,ballistic,herb,54.5,,,1.15,,,0.62,,,1.15,,1.15,field,temperate,Stamp & Lucas 1990
Crotalaria rotundifolia,,Crotalaria,Fabaceae,Fabales,ballistic,herb,3.4,,,2.39,,,0.94,,,2.39,,2.39,field,temperate,Stamp & Lucas 1990
Dendromecon rigida,,Dendromecon,Papaveraceae,Ranunculales,ant,shrub,10.3,,,0.06,,,,,,0.06,,0.06,field,temperate,Carney et al. 2003
Heterotheca subaxillaris subsp. latifolia,Heterotheca latifolia,Heterotheca,Asteraceae,Asterales,wind (none),herb,0.73,,,11,,,0.93,,,11,,11,field,temperate,Venable & Levin 1985
Lophion rostratum,Viola rostrata,Lophion,Violaceae,Malpighiales,ant,herb,,,,1.25,,,0.72,,,1.25,,1.25,field,temperate,Culver & Beattie 1978
Pinus strobus,,Pinus,Pinaceae,Pinales,animal,tree,17,40,,30,,,,,,30,,30,field,temperate,Abbott & Quink 1970
Pinus contorta,,Pinus,Pinaceae,Pinales,animal,tree,9.1,,,,,,25.7,,,,152.1858,152.1858,model,temperate,Vander Wall 2003
