Species,Snout-to-vent length in males,Snout-to-vent length in females,Adult snout-to-vent length,Total length in males,Total lenght in females,Adult total length,Head length < Body length,Head length = Body length,Head length > Body length,Foot length in males,Foot length in females,Adult foot length,Hind limb length in males,Hind limb length in females,Adult hind limb length,Tibia length in males,Tibia length in females,Adult tibia length
Alytes cisternasii,36.75,38.38,37.56,37.75,39.83,37.56,1,0,0,13,12.5,12.75,45,43.5,45.28,13,13,13.15
Alytes dickhilleni,44.7,DD,47.17,DD,DD,47.17,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes muletensis,34.7,35.65,35.18,DD,DD,35.18,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes obstetricans,45.05,49.57,47.31,46.15,51.6,47.31,1,0,0,15.25,15,15.13,54.25,55,58.61,16,15,17.38
Anaxyrus americanus,62.87,76.89,69.88,64.56,76.89,69.88,1,0,0,DD,DD,29,DD,DD,DD,DD,53.33,21
Atylodes genei,53.29,49,51.15,DD,DD,98.24,0,0,1,DD,DD,6.5,DD,DD,16.33,DD,DD,DD
Bombina bombina,38.89,40,39.44,36.6,36.8,39.44,1,0,0,17,16.33,16.67,52.33,51.67,52,14.33,14,14.17
Bombina pachypus,45.75,45.25,45.5,DD,DD,45.5,1,0,0,16,15,15.5,52.5,49,50.75,16,15,15.5
Bombina variegata,45.08,44.34,44.71,DD,DD,44.71,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Bufo bufo,66.11,88.46,77.28,62.73,83.17,77.28,1,0,0,34.67,46.4,40.53,95.3,138.3,112.65,27,39.2,33.1
Bufo mauritanicus,132,150,141,DD,DD,141,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Calotriton arnoldi,58.95,58.45,58.7,104.6,104.6,103.95,0,1,0,DD,DD,DD,DD,DD,18.27,DD,DD,DD
Calotriton asper,64.97,61.67,63.32,112.93,121.01,116.7,0,1,0,DD,DD,DD,18.29,16.51,16.5,DD,DD,DD
Chioglossa lusitanica,45.09,45.94,45.51,156,164,159,0,0,1,DD,DD,DD,12.62,12.6,14.04,DD,DD,DD
Discoglossus galganoi,54.85,49.2,52.03,50.5,46.5,52.03,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus jeanneae,39.5,40.7,40.1,DD,DD,40.1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus montalentii,DD,DD,60,DD,DD,60,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus pictus,56.49,47.86,52.18,DD,DD,52.18,1,0,0,27.25,23.5,25.38,89.75,80,86.67,29.75,26,28.83
Discoglossus sardus,54.6,55.5,55.05,DD,DD,55.05,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Epidalea calamita,59.03,67.13,63.08,72.88,72.75,63.08,1,0,0,24,22.33,23.17,68.67,67.67,68.17,20.67,20,20.34
Euproctus montanus,56,58,57,DD,DD,116.5,0,0,1,DD,DD,DD,DD,DD,20.5,DD,DD,DD
Euproctus platycephalus,59.85,43.55,51.7,127,112,120,0,0,1,DD,DD,DD,30.3,25.2,16.5,DD,DD,DD
Hyla arborea,41.19,44.03,42.61,43.07,44.35,42.61,1,0,0,17.33,18.67,18,58,19.33,60.84,18,18.67,19.07
Hyla intermedia,38.03,43.93,40.98,DD,DD,40.98,1,0,0,DD,DD,17.14,DD,DD,DD,DD,DD,15.72
Hyla meridionalis,38.59,39.45,39.02,DD,DD,39.02,1,0,0,17.33,17.67,17.5,64.33,65.67,65.02,20.33,17.67,20.55
Hyla sarda,DD,DD,35.6,DD,DD,35.6,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lissotriton boscai,32.18,38.12,35.15,66.44,77.2,72.49,0,1,0,DD,DD,DD,DD,DD,13.5,DD,DD,32.94
Lissotriton helveticus,34.5,39.64,37.07,72,76,77.24,0,1,0,DD,DD,DD,DD,DD,14,DD,DD,DD
Lissotriton italicus,DD,DD,DD,DD,80,67.28,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lissotriton montandoni,38.79,45.04,41.91,75,100,83.85,0,1,0,DD,DD,DD,13.4,13.6,14.17,DD,DD,DD
Lissotriton vulgaris,39.98,41.38,40.68,72,76,84.23,0,1,0,DD,DD,DD,DD,DD,14.5,DD,DD,DD
