Species,Home range,Movement event,Dispersal active or passive,Sex biased dispersal,Walker,Jumper,Runner,Climber,Swimmer,Crawler,Dispersal stage juvenile,Dispersal stage adult,Dispersal stade during breeding season,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Migration stage adult,Migration stage during breeding season,Mean migration distance,Maximum migration distance,Minimal migration distance
Alytes cisternasii,DD,DD,DD,DD,1,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes dickhilleni,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes muletensis,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Alytes obstetricans,DD,1,1,0,1,1,0,1,1,0,0,1,0,DD,500,DD,DD,DD,DD,500,DD
Anaxyrus americanus,687.95,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,1,0,452.73,4023.36,13.72
Atylodes genei,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Bombina bombina,60,1,1,0,1,1,0,0,1,0,1,1,0,DD,DD,DD,1,0,DD,170,DD
Bombina pachypus,DD,DD,DD,DD,1,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,250,DD
Bombina variegata,DD,1,1,0,1,1,0,0,1,0,1,1,1,DD,4000,DD,1,1,192.73,3800,6
Bufo bufo,50,0,1,1,1,1,1,1,0,0,1,1,0,180,DD,DD,1,0,15,4000,55
Bufo mauritanicus,DD,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Calotriton arnoldi,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Calotriton asper,DD,1,DD,0,1,0,0,0,1,0,0,1,0,DD,DD,DD,1,0,50,DD,DD
Chioglossa lusitanica,DD,DD,1,0,0,0,0,1,0,0,1,1,0,25,700,DD,1,0,DD,700,DD
Discoglossus galganoi,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus jeanneae,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus montalentii,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Discoglossus pictus,DD,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1500,DD,DD,DD,DD,DD,DD
Discoglossus sardus,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,250,DD,DD,DD,DD,DD,DD
Epidalea calamita,1450,1,1,0,0,0,1,1,0,0,1,1,0,2462.8,4411,567,0,1,510.66,2600,86
Euproctus montanus,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Euproctus platycephalus,DD,DD,DD,DD,1,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Hyla arborea,10,1,1,1,0,1,0,1,0,0,1,1,0,DD,2400,1500,1,0,390,12570,18
Hyla intermedia,DD,1,DD,DD,0,1,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,12600,DD
Hyla meridionalis,DD,1,DD,DD,0,1,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Hyla sarda,DD,1,DD,DD,0,1,0,1,0,0,0,1,0,DD,500,DD,DD,DD,DD,12600,DD
Lissotriton boscai,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,80,DD,DD
Lissotriton helveticus,DD,1,DD,DD,1,0,0,0,1,0,1,1,0,DD,DD,DD,1,1,DD,400,DD
Lissotriton italicus,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,182,DD,DD,DD,DD,DD,DD
Lissotriton montandoni,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Lissotriton vulgaris,DD,1,1,0,1,0,0,0,1,0,1,1,0,DD,DD,DD,0,1,34.5,866,80
Lithobates catesbeianus,DD,DD,DD,1,0,1,0,0,0,0,1,1,0,158.41,1600,1.5,1,1,1083.93,4000,DD
Lithobates sylvaticus,64.55,DD,DD,0,DD,DD,DD,DD,DD,DD,1,1,0,1208,2530,DD,0,1,216.77,800,1
