Dispersal_syndrome_general,Dispersal_syndrome_specific,Species,Distance_m,Type_of_measurement,Reference,
Autochory,Ballochory,Cardamine amara,1.4,Maximum,Schneider 1935,
Autochory,Ballochory,Cardamine impatiens,2,Maximum,Schneider 1935,
Autochory,Ballochory,Cardamine pratensis,2.4,Maximum,Schneider 1935,
Autochory,Ballochory,Cardamine resedifolia,1.04,Maximum,Schneider 1935,
Autochory,Ballochory,Cardamine resedifolia,<1,Maximum,Stöcklin & Bäumler 1996,
Autochory,Ballochory,Geranium maculatum,1.4 / 6.2,Mode and maximum,Stamp & Lucas 1983 and unpubl. in Willson 1993,
Autochory,Ballochory,Geranium maculatum,4.6 / 5.6,Mode and maximum,Stamp & Lucas 1983 and unpubl. in Willson 1993,
Autochory,Ballochory,Geranium molle,1.78 / 2.8,Mean and maximum,Stamp & Lucas 1983 in Cain et al. 1998,
Autochory,Ballochory,Geranium robertianum,6,Maximum,Ridley 1930 in Müller-Schneider 1983,
Autochory,Ballochory,Geranium rotundifolium,1.8,Maximum,Müller-Schneider 1933 in Müller-Schneider 1983,
Autochory,Ballochory,Geranium sylvaticum,2.7,Maximum,Müller-Schneider 1983,
Autochory,Ballochory,Impatiens parviflora,3.4,Maximum,Schneider 1935,
Autochory,Ballochory,Lathraea clandestina,4,Maximum,Guttenberg 1926 in Müller-Schneider 1983,
Autochory,Ballochory,Lathyrus vernus,1.5,Maximum,Müller-Schneider 1986,
Autochory,Ballochory,Mercurialis annua,2.9,Maximum,Müller-Schneider 1983,
Autochory,Ballochory,Mercurialis perennis,4,Maximum,Ridley 1930 in Müller-Schneider 1983,
Autochory,Ballochory,Mercurialis perennis,0.89,Maximum,Müller-Schneider 1986,
Autochory,Ballochory,Oxalis acetosella,2.3,Maximum,Moor 1940 in Müller-Schneider 1983,
Autochory,Ballochory,Oxalis acetosella,5,Maximum,Berg 2000,
Autochory,Ballochory,Viola arvensis,2.4,Maximum,Stapf 1887 in Müller-Schneider 1983,
Autochory,Ballochory,Viola canina,4.7,Maximum,Ulbrich 1928 in Müller-Schneider 1983,
Autochory,Ballochory,Viola riviniana,4.6,Maximum,Ulbrich 1928 in Müller-Schneider 1983,
Autochory,Ballochory,Viola stricta,0.5 / 3.4,Mode and maximum,Stamp & Lucas 1983 in Willson 1993,
Anemochory,Cystometeorochory,Calluna vulgaris,1 / 80*,90% of the seeds and maximum,Bullock & Clarke 2000,
Anemochory,Cystometeorochory,Calluna vulgaris,0.35 / 2,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Cystometeorochory,Erica cinerea,1 / 80*,90% of the seeds and maximum,Bullock & Clarke 2000,
Anemochory,Cystometeorochory,Sanguisorba minor,0.03 / 0.17,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Cystometeorochory,Cephalanthera damasonium,0.95 / 14.7,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Anthoxanthum odoratum,0.3 / 2,Mode and maximum,Antonovics & Ellstrand 1985 in Willson 1993,
Anemochory,Trichometeorochory,Carex frigida,<1,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Carlina vulgaris,0.22 / 1.7,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Carlina vulgaris,1.47,Maximum with a 16.4 km/h wind,Sheldom & Burrows 1973 in Cain et al. 1998,
Anemochory,Trichometeorochory,Crepis paludosa,0.31 / 2.2,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Geum reptans,4,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Hieracium aurantiacum,0.1 / 1.9,Mode an maximum,Stergios 1976 in Willson 1993,
Anemochory,Trichometeorochory,Hieracium murorum aggr.,0.27 / 1.9,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Hieracium murorum aggr.,10,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Hieracium pilosella,0.21 / 1.7,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Hieracium sabaudum,1.5 / 15.7,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Leontodon autumnalis,0.12 / 0.81,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Picris hieracioides,0.40 / 3.54,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Pulsatilla sp.,80*,Maximum,Hegi 1906-1938 in Müller-Schneider 1986,
Anemochory,Trichometeorochory,Senecio jacobea,0.49 / 4.1,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Senecio jacobea,14 / 36,Mode and maximum,McEvoy & Cox 1987 in Willson 1993,
Anemochory,Trichometeorochory,Senecio vulgaris,0.27 / 3.4,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Senecio vulgaris,0.34 / 2,Mean and maximum,Bergelson et al. 1993,
Anemochory,Trichometeorochory,Tragopogon pratensis,0.41 / 3.4,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Mycelis muralis,0.99 / 14.3,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Solidago virgaurea,0.58 / 5.6,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Adenostyles leucophylla,85,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Carduus nutans,0.83 / 9.6,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Carduus nutans,10 / 40-100,Mode and maximum of different measures,Smith & Kok 1984 in Willson 1993,
Anemochory,Trichometeorochory,Cirsium arvense,2.0 / 53.4,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Cirsium arvense,11.4,Maximum with a 16.4 km/h wind,Sheldom & Burrows 1973 in Cain et al. 1998,
Anemochory,Trichometeorochory,Cirsium spinosissimum,30,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Cirsium vulgare,1.8 / 31.6,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Cirsium vulgare,1 / 32,Mean and maximum,Klinkhammer et al. 1988 in Cain et al. 1998,
Anemochory,Trichometeorochory,Clematis sp.,100,Maximum,Müller-Schneider 1986,
Anemochory,Trichometeorochory,Clematis vitalba,10.2 / 100,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Epilobium angustifolium,7.48 / 2112,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Epilobium ciliatum,3.65 / 179,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Epilobium fleischeri,50,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Epilobium hirsutum,4 / 136,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Epilobium montanum,1.6 / 49.6,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Erigeron acer s.l.,75,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Erigeron annuus,1.6 / 35.4,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Eriophorum angustifolium,1.1 / 24.2,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Eupatorium cannabinum,1.6 / 23.7,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Hieracium staticifolium,75,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Myricaria germanica,100,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Phragmites australis,13.9 / 1714,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Poa nemoralis,50,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Salix sp.,100,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Solidago gigantea,4.2 / 136,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Solidago virgaurea subsp. Minuta,4,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Taraxacum officinale,0.22 / 2.2,Calculated median and 99-percentile,Soons & Ozinga 2005,
Anemochory,Trichometeorochory,Taraxacum officinale,50,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Tussilago farfara,20,Maximum,Stöcklin & Bäumler 1996,
Anemochory,Trichometeorochory,Tussilago farfara,10 / > 4000*,Mode and maximum,Bakker 1961 in Willson 1993,
Anemochory,Trichometeorochory,Typha angustifolia,11.3 / 2194,Calculated median and 99-percentile,Soons & Ozinga 2005,
