Ref no,Species,Sex,Value,Units,Measure
1,Vulpes vulpes,Female,302,km - Linear,Maximum
1,Vulpes vulpes,Male,153,km - Linear,Maximum
1,Vulpes vulpes,Female,25.33,km - Linear,Mean
1,Vulpes vulpes,Male,35,km - Linear,Mean
1,Vulpes vulpes,Female,5.67,km - Linear,Median
1,Vulpes vulpes,Male,19.67,km - Linear,Median
2,Odocoileus hemionus,Female,180,km - Linear,Maximum
3,Aplodontia rufa,Both,326,Metres - Linear,Maximum
3,Aplodontia rufa,Both,152.5,Metres - Linear,Mean
3,Aplodontia rufa,Male,142.7,Metres - Linear,Mean
3,Aplodontia rufa,Both,130.5,Metres - Linear,Median
4,Marmota flaviventris,Female,6.4,km - Linear,Maximum
4,Marmota flaviventris,Male,15.5,km - Linear,Maximum
4,Marmota flaviventris,Female,0.4,km - Linear,Median
4,Marmota flaviventris,Male,1.5,km - Linear,Median
5,Martes pennanti,Female,22.6,km - Linear,Maximum
5,Martes pennanti,Male,23,km - Linear,Maximum
5,Martes pennanti,Female,14.92,km - Linear,Mean
5,Martes pennanti,Male,17.3,km - Linear,Mean
5,Martes pennanti,Female,15.1,km - Linear,Median
5,Martes pennanti,Male,17.7,km - Linear,Median
6,Castor canadensis,Both,31,Miles - Linear,Maximum
6,Castor canadensis,Both,11.29,Miles - Linear,Mean
6,Castor canadensis,Both,4.75,Miles - Linear,Median
7,Mellivora capensis,Female,53,km - Linear,Maximum
8,Puma concolor,Female,48,km - Linear,Maximum
8,Puma concolor,Male,77,km - Linear,Maximum
8,Puma concolor,Male,63.25,km - Linear,Mean
8,Puma concolor,Male,69,km - Linear,Median
9,Canis lupus,Female,79,km - Linear,Maximum
9,Canis lupus,Male,432,km - Linear,Maximum
9,Canis lupus,Female,58,km - Linear,Mean
9,Canis lupus,Male,183.4,km - Linear,Mean
9,Canis lupus,Female,58,km - Linear,Median
9,Canis lupus,Male,146,km - Linear,Median
10,Canis lupus,Female,45,km - Linear,Maximum
10,Canis lupus,Male,50,km - Linear,Maximum
10,Canis lupus,Female,32.5,km - Linear,Mean
10,Canis lupus,Male,31.5,km - Linear,Mean
10,Canis lupus,Female,36,km - Linear,Median
10,Canis lupus,Male,31,km - Linear,Median
11,Canis mesomelas,Unspecified,103,km - Linear,Maximum
11,Canis mesomelas,Unspecified,55.5,km - Linear,Mean
11,Canis mesomelas,Unspecified,55.5,km - Linear,Median
12,Microtus arvalis,Female,101.6,Metres - Linear,Maximum
13,Canis lupus,Both,254.9,km - Linear,Maximum
13,Canis lupus,Both,96.3,km - Linear,Mean
14,Crocuta crocuta,Male,40,km - Linear,Maximum
14,Crocuta crocuta,Male,6.8,km - Linear,Mean
15,Lepus europaeus,Both,17353,Metres - Linear,Maximum
15,Lepus europaeus,Both,1615,Metres - Linear,Median
16,Hylobates lar,Female,1400,Metres - Linear,Maximum
16,Hylobates lar,Male,1000,Metres - Linear,Maximum
16,Hylobates lar,Male,620,Metres - Linear,Mean
16,Hylobates lar,Male,500,Metres - Linear,Median
17,Chlorocebus aethiops,Male,0.5,km-Linear,Maximum
18,Ursus americanus,Female,5,km-Linear,Maximum
18,Ursus americanus,Male,62,km-Linear,Maximum
18,Ursus americanus,Female,3,km-Linear,Mean
18,Ursus americanus,Male,38,km-Linear,Mean
19,Trichosurus vulpecula,Both,11.5,km - Linear,Maximum
19,Trichosurus vulpecula,Both,5.54,km - Linear,Mean
19,Trichosurus vulpecula,Both,4.5,km - Linear,Median
20,Thomomys bottae,Both,300,Metres - Linear,Maximum
21,Castor canadensis,Both,8,km - Linear,Maximum
21,Castor canadensis,Both,3.5,km - Linear,Mean
22,Peromyscus maniculatus,Female,1005.84,Metres - Linear,Maximum
22,Peromyscus maniculatus,Male,883.92,Metres - Linear,Maximum
