exclude,Study,Taxa,Location,Range Type,Traits Tested,Method to detect shift,Response type,Ele or lat,Findings,,,
,,,,,,,,,,,,
n,Angert et al. 2011,bird,USA,L,"Migratory distance, fecundity, diet breadth, body size, wingload, flight rank, range size, historic limit",pre-existing datasets,rate of nothern boundary displacement,lat,no real strong effect of any trait,"body size 0
migratory status 0",,
n,Auer and King 2014,bird,USA,"L, A","Migratory distance, fecundity, diet breadth, range size, historic limit",north american breeding bird survery over 35 years,magnitude of northern latitude boundary displacement,lat,migratory status as proxy for dispersal distance,migratory status 0,,
n,Bradshaw et al. 2014,bird,Britain,L,"Body size, natal dispersal, conservation status",british breeding birds ,change in area of occupancy (expansion),lat,increasing body mass and natal dispersal resulted in a reduced probability of expanding area of occupancy,"body size -
mean natal dispersal -",,
n,Brommer 2008,bird,Finland,L,"Migratory distance, diet guild, body size",finnish birds,magnitude of poleward range margin shift,lat,"larger birds showed smaller range margin shift, no difference for species with different migration ecology","body size -
migration ecology 0",,
n,Hockey et al. 2011,bird,South Africa,L,"Migratory distance, diet breadth, habitat breadth",range expansions south and west in south africa,whether range expanded or not (0 or 1),lat,full migrants more likely to expand range,migration habit +,,
n,Brommer and Møller 2010,bird,"Europe, USA","L, A","Migratory distance, fecundity, diet guild, body size, habitat niche, adult survival, brain mass, thermal range, dispersal distance",,,lat,"smaller mass had smaller range margin shift, no relationship to migratory distance","mody mass -
migration distance 0
",,
n,La Sorte and Thompson,bird,USA,L,Migratory distance ,CBC data ,trend in maximum occupied latitude ,lat,no evidence that it is associated,migratory status 0,,
n,Zurrell,bird,"Europe, NA",L,"Body size, HWI",,,lat,mixed,body size +/-,,
n,Betzholtz et al. 2012,butterfly,Sweden,L,"Length of flight period, activity period temp., diet breadth, diet guild, body size, habitat niche",long term data set over sweden,magnitude of northern boundary displacement,lat,,body size 0,,
n,Pöyry et al. 2009,lepidoptera,Finland,L,"Length of flight period, diet breadth, body size, flight behavior, larval host, habitat niche, habitat breadth, overwintering stage, conservation status, range size ",finnish butterflies,change in latitude of northern range boundary,lat,"mobility, calculated based on experts","body size +
mobility +",,
n,Angert et al. 2011,dragonfly,Britain,L,"Migratory distance, length of flight period, fecundity, body size, flight behavior, habitat niche, range size, historic limit",pre-existing datasets,rate of nothern boundary displacement,lat,no real strong effect of any trait,body size 0,,
n,Powney et al. 2014,plant,Britain,L,"Thermophily, height, habitat breadth, Ellenberg values, life cycle",vascular plants in Britain,range change - not necessarily only expansion,lat,taller species had more positive range change ,height +,,
n,Moreno-Rueda et al. 2012,reptile,Spain,A,"Fecundity, body size",reptile shift in spain,magnitude of range margin shift,lat,shift in northward limit not related to body size,body size 0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
n,Auer and King 2014,bird,USA,"L, A","Migratory distance, fecundity, diet breadth, range size, historic limit",north american breeding bird survery over 35 years,magnitude of upper elevation boundary displacement,ele,migratory status as proxy for dispersal distance,migratory status 0,,bird elevation: no or contrary to expectation
