"GenusSpecies","DispersalDistance","DispersalDistance_Unit","DispersalDistance_ObservationType","DispersalDistance_MeasurementType","DispersalDistance_Database","DispersalFrequency","DispersalFrequency_Unit","DispersalFrequency_MeasurementType","DispersalFrequency_Database","MaxDispersalDistanceKm","MaxDispersalDistance_Database","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","DispersalFrequencyY","PotentialDispersalRateKmY"
"Abies alba",7000,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",7,"yrs","AgeAtMaturity","TRY",7,"Tamme et al. 2014",7,2,7,1
"Abies alba",7000,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",7,"yrs","AgeAtMaturity","TRY",7,"Tamme et al. 2014",7,2,7,1
"Abies balsamea",25,"m","seed dispersal","MeanDispersalDistance","TRY database",25,"yrs","AgeAtMaturity","TRY",0.16,"TRY database",0.08,4,25,0.0064
"Abies balsamea",60,"m","seed dispersal","MeanDispersalDistance","TRY database",25,"yrs","AgeAtMaturity","TRY",0.16,"TRY database",0.08,4,25,0.0064
"Abies balsamea",100,"m","seed dispersal","MaxDispersalDistance","TRY database",25,"yrs","AgeAtMaturity","TRY",0.16,"TRY database",0.08,4,25,0.0064
"Abies balsamea",160,"m","seed dispersal","MaxDispersalDistance","TRY database",25,"yrs","AgeAtMaturity","TRY",0.16,"TRY database",0.08,4,25,0.0064
"Abies grandis",45,"m","seed dispersal","MeanDispersalDistance","TRY database",20,"yrs","AgeAtMaturity","TRY",0.12,"TRY database",0.06,3,20,0.006
"Abies grandis",60,"m","seed dispersal","MeanDispersalDistance","TRY database",20,"yrs","AgeAtMaturity","TRY",0.12,"TRY database",0.06,3,20,0.006
"Abies grandis",120,"m","seed dispersal","MaxDispersalDistance","TRY database",20,"yrs","AgeAtMaturity","TRY",0.12,"TRY database",0.06,3,20,0.006
"Abutilon theophrasti",1.04,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00104,"Tamme et al. 2014",0.00104,1,1,0.00104
"Acanthis flammea",84700,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",84.7,"Jenkins et al. 2007",21.9,5,1,84.7
"Acanthis flammea",21.9,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",84.7,"Jenkins et al. 2007",21.9,5,1,84.7
"Acanthis flammea",22.7,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",84.7,"Jenkins et al. 2007",21.9,5,1,84.7
"Acanthis flammea",5.383,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",84.7,"Jenkins et al. 2007",21.9,5,1,84.7
"Acanthis flammea",2.139,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",84.7,"Jenkins et al. 2007",21.9,5,1,84.7
"Accipiter cooperii",9.2,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",730,"days","AgeAtMaturity","AnAge",57.71831,"Chu & Clairmunt 2023",35.2,5,2,28.859155
